"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.582458324E-3,-4.096980286E-1,-3.161425781E-1,9.671687622E0
1.151145838E-2,-4.180805969E-1,-3.020718384E-1,9.775571594E0
2.144045837E-2,-4.128414917E-1,-2.796185303E-1,9.903705139E0
3.136945836E-2,-3.760180664E-1,-2.936892700E-1,9.895472260E0
4.129845835E-2,-3.752696228E-1,-3.067121887E-1,9.773625641E0
5.122745835E-2,-3.119512939E-1,-3.135978699E-1,9.795180817E0
6.115633337E-2,-3.396437073E-1,-2.900967407E-1,9.904004517E0
7.108533336E-2,-2.878514099E-1,-2.752775574E-1,9.893226929E0
8.101433335E-2,-2.656974792E-1,-3.013233948E-1,9.766590271E0
9.094333334E-2,-2.263293457E-1,-2.980302429E-1,9.710457001E0
1.008723333E-1,-1.902543640E-1,-2.998265076E-1,9.820178833E0
1.108013333E-1,-1.484912109E-1,-2.923420715E-1,9.902357941E0
1.207293334E-1,-1.190025330E-1,-2.936892700E-1,9.877210236E0
1.306583334E-1,-8.771759033E-2,-2.974314880E-1,9.789492645E0
1.405873334E-1,-6.526428223E-2,-3.001258850E-1,9.732910309E0
1.505163333E-1,-4.191284180E-2,-2.954855347E-1,9.815089417E0
1.604453333E-1,-3.113525391E-2,-2.902464294E-1,9.847871246E0
1.703743333E-1,-1.526824951E-2,-2.891986084E-1,9.847871246E0
1.803033333E-1,-1.616638184E-2,-2.893482971E-1,9.785451050E0
1.902323334E-1,-3.188369751E-2,-3.032693481E-1,9.765392761E0
2.001613334E-1,-4.490661621E-2,-2.978805542E-1,9.814041595E0
2.100903334E-1,-6.271957397E-2,-2.914439392E-1,9.855954437E0
2.200193334E-1,-9.639953613E-2,-2.957849121E-1,9.834249573E0
2.299483333E-1,-1.252894592E-1,-2.954855347E-1,9.794282684E0
2.398773333E-1,-1.598675537E-1,-2.920426941E-1,9.798174591E0
2.498053333E-1,-1.869612122E-1,-2.926414490E-1,9.831405487E0
2.597343334E-1,-2.234852600E-1,-2.930905151E-1,9.868677979E0
2.696633334E-1,-2.471360779E-1,-2.924917603E-1,9.852661285E0
2.795923334E-1,-2.725831604E-1,-2.939886475E-1,9.809550934E0
2.895213334E-1,-2.980302429E-1,-2.948867798E-1,9.810748444E0
2.994503333E-1,-3.089575195E-1,-2.944377136E-1,9.850715332E0
3.093793333E-1,-2.824626160E-1,-2.971321106E-1,9.824070740E0
3.193083333E-1,-2.905458069E-1,-2.986289978E-1,9.867181091E0
3.292373333E-1,-2.969824219E-1,-2.796185303E-1,9.820029144E0
3.391663334E-1,-3.420387268E-1,-3.050656128E-1,9.862989807E0
3.490953334E-1,-3.312611389E-1,-2.902464294E-1,9.798324280E0
3.590243334E-1,-3.210823059E-1,-3.025209045E-1,9.830657043E0
3.689533334E-1,-2.836601257E-1,-2.933898926E-1,9.821376343E0
3.788813333E-1,-2.612068176E-1,-3.020718384E-1,9.860744476E0
3.888103333E-1,-2.279759216E-1,-2.971321106E-1,9.831405487E0
3.987393333E-1,-2.076182556E-1,-3.068618774E-1,9.798324280E0
4.086683334E-1,-1.743873596E-1,-2.978805542E-1,9.780960388E0
4.185973334E-1,-1.523831177E-1,-2.944377136E-1,9.808054047E0
4.285263334E-1,-1.131646729E-1,-2.803669739E-1,9.774972839E0
4.384553334E-1,-9.071136475E-2,-3.080593872E-1,9.873018951E0
4.483843333E-1,-7.783813477E-2,-2.853067017E-1,9.867330780E0
4.583133333E-1,-6.137237549E-2,-2.981799316E-1,9.842482452E0
4.682423333E-1,-4.326004028E-2,-2.951861572E-1,9.744735718E0
4.781713334E-1,-5.493576050E-2,-2.932402039E-1,9.772128754E0
4.881003334E-1,-7.035369873E-2,-3.059637451E-1,9.871821442E0
4.980293334E-1,-7.768844604E-2,-2.918930054E-1,9.905202026E0
5.079573333E-1,-9.430389404E-2,-2.878514099E-1,9.809850311E0
5.178863333E-1,-1.204994202E-1,-3.037184143E-1,9.765243073E0
5.278153333E-1,-1.425036621E-1,-2.971321106E-1,9.799372101E0
5.377443333E-1,-1.673519897E-1,-2.993774414E-1,9.866582336E0
5.476733334E-1,-2.023791504E-1,-2.896476746E-1,9.846524048E0
5.576023334E-1,-2.594105530E-1,-2.908451843E-1,9.820777588E0
5.675313334E-1,-3.013233948E-1,-2.968327332E-1,9.827214203E0
5.774603334E-1,-3.522175598E-1,-2.823129272E-1,9.810748444E0
5.873893333E-1,-3.882925415E-1,-2.999761963E-1,9.849517822E0
5.973183333E-1,-4.192781067E-1,-3.028202820E-1,9.862989807E0
6.072473333E-1,-4.177812195E-1,-2.926414490E-1,9.813442841E0
6.171763333E-1,-4.439767456E-1,-3.061134338E-1,9.826016693E0
6.271053334E-1,-4.381388855E-1,-2.911445618E-1,9.840237122E0
6.370333334E-1,-4.173321533E-1,-2.990780640E-1,9.853559418E0
6.469623334E-1,-3.902384949E-1,-2.957849121E-1,9.805359650E0
6.568913333E-1,-3.535647583E-1,-2.923420715E-1,9.823172607E0
6.668203333E-1,-3.179388428E-1,-2.954855347E-1,9.853709106E0
6.767493333E-1,-2.836601257E-1,-3.022215271E-1,9.858798523E0
6.866783333E-1,-2.469863892E-1,-2.950364685E-1,9.788295135E0
6.966073334E-1,-2.212399292E-1,-3.038681030E-1,9.819879456E0
7.065363334E-1,-1.880090332E-1,-3.038681030E-1,9.853858795E0
7.164653334E-1,-1.791773987E-1,-2.954855347E-1,9.863139496E0
7.263943334E-1,-1.309776306E-1,-2.866539001E-1,9.783056030E0
7.363233333E-1,-1.384620667E-1,-2.977308655E-1,9.797276459E0
7.462523333E-1,-1.383123779E-1,-2.909948730E-1,9.844428406E0
7.561813333E-1,-1.321751404E-1,-2.999761963E-1,9.872869263E0
7.661093334E-1,-1.284329224E-1,-2.926414490E-1,9.786947937E0
7.760383334E-1,-1.453477478E-1,-3.005749512E-1,9.792187042E0
7.859673334E-1,-1.460961914E-1,-2.915936279E-1,9.811047821E0
7.958963334E-1,-1.686991882E-1,-2.981799316E-1,9.889484711E0
8.058253333E-1,-2.037263489E-1,-2.890489197E-1,9.813143463E0
8.157543333E-1,-2.303709412E-1,-2.878514099E-1,9.764794006E0
8.256833333E-1,-2.718347168E-1,-3.085084534E-1,9.799821167E0
8.356123333E-1,-3.119512939E-1,-2.978805542E-1,9.903256073E0
8.455413334E-1,-3.520678711E-1,-3.010240173E-1,9.887987823E0
8.554703334E-1,-3.896397400E-1,-3.088078308E-1,9.783954163E0
8.653993334E-1,-4.059558105E-1,-3.071612549E-1,9.756112061E0
8.753283333E-1,-4.230203247E-1,-3.026705933E-1,9.855205994E0
8.852563333E-1,-4.340972900E-1,-2.950364685E-1,9.887239380E0
8.951853333E-1,-4.201762390E-1,-2.983296204E-1,9.815987549E0
9.051143334E-1,-3.933819580E-1,-3.112028503E-1,9.761650543E0
9.150433334E-1,-3.610491943E-1,-2.953358459E-1,9.824070740E0
9.249723334E-1,-3.267704773E-1,-2.953358459E-1,9.908644867E0
9.349013334E-1,-2.933898926E-1,-2.914439392E-1,9.836943970E0
9.448303333E-1,-2.495310974E-1,-3.097059631E-1,9.768087158E0
9.547593333E-1,-2.145039368E-1,-3.022215271E-1,9.806257782E0
9.646883333E-1,-1.468446350E-1,-2.917433167E-1,9.880054321E0
9.746173333E-1,-1.279838562E-1,-2.960842896E-1,9.836494904E0
9.845463334E-1,-1.148112488E-1,-2.978805542E-1,9.771230621E0
9.944753334E-1,-1.197509766E-1,-2.989283752E-1,9.776769104E0
1.004403333E0,-1.341210938E-1,-3.038681030E-1,9.805808716E0
1.014332333E0,-1.218466187E-1,-2.917433167E-1,9.820178833E0
1.024261333E0,-1.440005493E-1,-2.977308655E-1,9.813143463E0
1.034190333E0,-1.851649475E-1,-2.939886475E-1,9.768087158E0
1.044119333E0,-2.956352234E-1,-2.974314880E-1,9.727521515E0
1.054048333E0,-4.122427368E-1,-3.040177917E-1,9.803114319E0
1.063977333E0,-5.709127808E-1,-3.037184143E-1,9.847721558E0
1.073906333E0,-7.030879211E-1,-2.914439392E-1,9.855355682E0
1.083835333E0,-7.367678833E-1,-3.026705933E-1,9.878557434E0
1.093764333E0,-6.593788147E-1,-2.939886475E-1,9.909542999E0
1.103693333E0,-5.171745300E-1,-3.002755737E-1,9.908195801E0
1.113622333E0,-3.459306335E-1,-3.059637451E-1,9.833950195E0
1.123550333E0,-1.939965820E-1,-3.195854187E-1,9.865833893E0
1.133479333E0,-2.574645996E-2,-2.984793091E-1,9.844877472E0
1.143408333E0,4.071533203E-2,-3.171903992E-1,9.870174866E0
1.153337333E0,2.944377136E-1,-3.046165466E-1,9.741741943E0
1.163266333E0,2.987786865E-1,-2.661465454E-1,9.689350891E0
