"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.275245834E-2,-2.596658205E-1,-2.953549590E-1,9.802113860E0
2.268145833E-2,-2.548073325E-1,-2.947567341E-1,9.802259456E0
3.261045832E-2,-2.485733052E-1,-2.943093490E-1,9.802433118E0
4.253945837E-2,-2.407985001E-1,-2.940275863E-1,9.802635432E0
5.246833334E-2,-2.322466731E-1,-2.934178861E-1,9.802859965E0
6.239733333E-2,-2.228812426E-1,-2.930705981E-1,9.803088006E0
7.232633338E-2,-2.132071705E-1,-2.929533797E-1,9.803306692E0
8.225533337E-2,-2.026287900E-1,-2.927502985E-1,9.803537073E0
9.218433336E-2,-1.916284414E-1,-2.926063474E-1,9.803762775E0
1.021133334E-1,-1.811937745E-1,-2.923899091E-1,9.803967428E0
1.120423333E-1,-1.713839738E-1,-2.923878991E-1,9.804144014E0
1.219703333E-1,-1.623881422E-1,-2.922682322E-1,9.804300719E0
1.318993333E-1,-1.547237398E-1,-2.920980599E-1,9.804429358E0
1.418283334E-1,-1.485013796E-1,-2.919628979E-1,9.804529930E0
1.517573334E-1,-1.439062630E-1,-2.918212125E-1,9.804602435E0
1.616863334E-1,-1.410901982E-1,-2.917728816E-1,9.804645120E0
1.716153334E-1,-1.401069250E-1,-2.917255923E-1,9.804660323E0
1.815443333E-1,-1.411241852E-1,-2.918256528E-1,9.804642781E0
1.914733333E-1,-1.436808163E-1,-2.918774554E-1,9.804604189E0
2.014023333E-1,-1.477821538E-1,-2.917557968E-1,9.804546887E0
2.113313333E-1,-1.532495654E-1,-2.917570393E-1,9.804462687E0
2.212603334E-1,-1.597839568E-1,-2.918305863E-1,9.804356267E0
2.311893334E-1,-1.667518461E-1,-2.919632633E-1,9.804236400E0
2.411183334E-1,-1.740865386E-1,-2.920236906E-1,9.804107176E0
2.510463333E-1,-1.813884685E-1,-2.920336126E-1,9.803974444E0
2.609753333E-1,-1.883809709E-1,-2.919803299E-1,9.803844051E0
2.709043333E-1,-1.946336362E-1,-2.919737700E-1,9.803722429E0
2.808333333E-1,-1.998835405E-1,-2.919329126E-1,9.803617764E0
2.907623334E-1,-2.040655239E-1,-2.918016426E-1,9.803535318E0
3.006913334E-1,-2.063009693E-1,-2.920382173E-1,9.803481524E0
3.106203334E-1,-2.081086908E-1,-2.923634504E-1,9.803433577E0
3.205493334E-1,-2.092244127E-1,-2.922719598E-1,9.803412527E0
3.304783333E-1,-2.092798150E-1,-2.923206744E-1,9.803410188E0
3.404073333E-1,-2.080120473E-1,-2.921101929E-1,9.803443517E0
3.503363333E-1,-2.052230716E-1,-2.920373402E-1,9.803504328E0
3.602653333E-1,-2.014507770E-1,-2.919279973E-1,9.803585604E0
3.701943334E-1,-1.968311295E-1,-2.918787345E-1,9.803680914E0
3.801223334E-1,-1.916507339E-1,-2.916934326E-1,9.803789088E0
3.900513334E-1,-1.864322767E-1,-2.916006263E-1,9.803892583E0
3.999803333E-1,-1.812678879E-1,-2.914978615E-1,9.803992571E0
