"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.275245834E-2,4.177797120E-3,-3.873851895E-2,1.862656558E-3
2.268145833E-2,6.184148602E-3,-5.285504460E-2,-1.092159655E-3
3.261045832E-2,3.687168472E-3,-6.844545901E-2,-5.573970266E-4
4.253945837E-2,4.673173185E-3,-8.566966653E-2,-3.510316368E-3
5.246833334E-2,6.891319994E-3,-1.003918871E-1,-8.679274470E-4
6.239733333E-2,1.372189261E-3,-1.032695472E-1,-2.178635448E-3
7.232633338E-2,3.991940990E-3,-1.077665612E-1,-2.207131125E-3
8.225533337E-2,1.298121642E-3,-1.123184636E-1,-1.534471754E-3
9.218433336E-2,1.383875497E-3,-1.104862094E-1,-3.189892508E-3
1.021133334E-1,2.825889736E-3,-1.037742794E-1,-1.619660296E-3
1.120423333E-1,1.083649695E-3,-9.924424440E-2,-4.902805202E-3
1.219703333E-1,1.331132837E-3,-8.727555722E-2,-1.788199879E-3
1.318993333E-1,1.003830228E-3,-7.349396497E-2,-2.608719748E-3
1.418283334E-1,1.538903452E-3,-5.498004705E-2,-2.090751193E-3
1.517573334E-1,7.681841962E-4,-3.802157193E-2,-1.675297972E-3
1.616863334E-1,-4.599746317E-4,-2.103573829E-2,1.943060197E-4
1.716153334E-1,-5.071121268E-4,8.101731073E-4,1.650112681E-4
1.815443333E-1,-1.189433970E-3,1.791549101E-2,1.448795199E-3
1.914733333E-1,-1.020855736E-3,3.223877028E-2,3.130315337E-3
2.014023333E-1,2.008092590E-3,4.897920787E-2,-2.018057741E-3
2.113313333E-1,-1.631915802E-3,6.289715320E-2,1.511163078E-3
2.212603334E-1,-1.536396099E-3,6.911665946E-2,1.922654454E-3
2.311893334E-1,-7.164087147E-4,7.494525611E-2,1.932241954E-3
2.411183334E-1,-1.648578560E-3,7.427063584E-2,1.615215326E-3
2.510463333E-1,7.732999511E-4,7.460618764E-2,3.568644170E-3
2.609753333E-1,3.243070096E-4,6.966257095E-2,2.512195613E-3
2.709043333E-1,-9.090029635E-4,5.767515302E-2,2.332165837E-3
2.808333333E-1,1.171418466E-3,4.847286642E-2,2.440138720E-3
2.907623334E-1,-1.342339208E-3,3.385131434E-2,1.873151865E-3
3.006913334E-1,-2.977050841E-3,2.437946200E-2,-1.282004174E-3
3.106203334E-1,8.493787609E-4,1.773567498E-2,-5.272640847E-4
3.205493334E-1,-6.593298167E-5,7.138438057E-3,-4.946533591E-5
3.304783333E-1,2.636643127E-3,-4.708900582E-3,4.307026975E-4
3.404073333E-1,1.521175262E-3,-2.172870561E-2,-3.284723032E-3
3.503363333E-1,8.493242785E-5,-3.653721139E-2,-1.198136248E-3
3.602653333E-1,7.883808576E-4,-4.491664842E-2,-2.277688589E-3
3.701943334E-1,2.076818142E-3,-5.305926129E-2,-5.335845053E-4
3.801223334E-1,4.148534499E-3,-6.251811981E-2,-2.566391602E-3
3.900513334E-1,1.413468271E-3,-5.846239626E-2,1.028875820E-3
3.999803333E-1,1.064057928E-3,-6.061225384E-2,5.592312664E-5
4.099093333E-1,7.309531793E-5,-5.855922401E-2,-6.644623354E-4
4.198383333E-1,8.564665914E-4,-4.740928859E-2,-3.341155127E-3
4.297673334E-1,1.688385382E-4,-3.972473741E-2,4.154997878E-4
4.396963334E-1,-9.017488919E-4,-1.915965416E-2,-1.726932824E-4
4.496253334E-1,5.059977993E-4,-5.204424728E-3,1.066475641E-3
4.595543334E-1,1.272893045E-3,1.167914085E-2,2.899363637E-3
4.694833333E-1,-1.083471812E-3,2.913429774E-2,-1.212290488E-3
4.794123333E-1,-2.467127051E-3,4.203113914E-2,2.362059895E-3
4.893413333E-1,-1.264177263E-3,5.783540010E-2,1.267234329E-3
4.992703333E-1,-2.706930740E-3,7.442070544E-2,2.899729647E-3
5.091983334E-1,5.873995833E-4,8.461155742E-2,1.857368508E-3
5.191273334E-1,-2.504853299E-3,9.820458293E-2,2.272642450E-3
5.290563334E-1,5.343463272E-4,1.019700244E-1,5.604960024E-4
5.389853333E-1,4.453673027E-3,1.120180935E-1,1.556436764E-3
5.489143333E-1,-3.836923279E-4,1.147100180E-1,3.644621465E-3
5.588433333E-1,1.996549312E-3,1.050998122E-1,1.929746242E-3
5.687723333E-1,-4.597969819E-3,9.216830134E-2,4.574798048E-3
5.787013334E-1,-2.426913241E-3,7.965680957E-2,1.279218588E-3
5.886303334E-1,1.528147142E-3,6.173426658E-2,-2.012327313E-4
5.985593334E-1,1.280918717E-3,4.155492410E-2,5.056024529E-4
6.084883334E-1,7.775812410E-4,1.660829782E-2,1.364881173E-4
6.184173333E-1,-3.336414229E-3,-2.604267560E-3,1.262808219E-4
6.283463333E-1,-1.152089797E-3,-2.419744432E-2,-7.554921322E-4
6.382743333E-1,-5.036250222E-3,-3.817594796E-2,-5.427002907E-5
6.482033334E-1,-1.399171306E-3,-5.289657041E-2,-1.111012418E-3
6.581323334E-1,-1.970625715E-3,-6.072636321E-2,-4.119211808E-4
6.680613334E-1,1.818786375E-3,-6.383906305E-2,-2.487322781E-3
6.779903334E-1,-2.885374706E-3,-6.768409908E-2,-2.919472754E-3
6.879193333E-1,3.330553882E-4,-6.230957434E-2,-2.784450538E-3
6.978483333E-1,2.321456559E-4,-5.392142758E-2,-2.373401076E-3
7.077773333E-1,-6.213365123E-5,-4.315240309E-2,2.064029686E-4
7.177063333E-1,-1.825639047E-4,-3.371657059E-2,-2.094218507E-5
7.276353334E-1,-2.864273265E-4,-2.123193815E-2,-1.168498304E-3
7.375643334E-1,1.258576289E-3,-6.155199371E-3,9.411945939E-6
