"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.275245834E-2,-1.584147764E-1,-6.716879345E-3,-2.654226601E-2
2.268145833E-2,-1.580341410E-1,1.513820378E-2,1.014450985E-1
3.261045832E-2,-1.274447795E-1,6.200789474E-4,9.303914130E-2
4.253945837E-2,-1.344711044E-1,-1.268460246E-2,-2.901037574E-2
5.246833334E-2,-7.970460255E-2,-2.017994720E-2,-7.679733038E-3
6.239733333E-2,-1.167624646E-1,2.973839063E-3,1.009165102E-1
7.232633338E-2,-7.464423940E-2,1.767582228E-2,8.992023647E-2
8.225533337E-2,-6.306867102E-2,-8.573096227E-3,-3.694680154E-2
9.218433336E-2,-3.470090428E-2,-5.423877239E-3,-9.330577433E-2
1.021133334E-1,-9.060589559E-3,-7.436616775E-3,1.621140540E-2
1.120423333E-1,2.289276291E-2,4.582755268E-5,9.821392715E-2
1.219703333E-1,4.338560924E-2,-1.421037856E-3,7.290951669E-2
1.318993333E-1,6.700616777E-2,-5.333409850E-3,-1.493729711E-2
1.418283334E-1,8.323710652E-2,-8.162987139E-3,-7.161962092E-2
1.517573334E-1,1.019934212E-1,-3.664285596E-3,1.048639655E-2
1.616863334E-1,1.099549443E-1,1.526452191E-3,4.322612643E-2
1.716153334E-1,1.248386754E-1,2.527002152E-3,4.321092367E-2
1.815443333E-1,1.249578033E-1,2.477355637E-3,-1.919173121E-2
1.914733333E-1,1.117971187E-1,-1.139187444E-2,-3.921142817E-2
2.014023333E-1,1.028755376E-1,-6.124775670E-3,9.494708776E-3
2.113313333E-1,9.052999143E-2,3.131183982E-4,5.149116576E-2
2.212603334E-1,6.338442067E-2,-3.954344038E-3,2.989330530E-2
2.311893334E-1,4.146238692E-2,-3.522253074E-3,-9.953715205E-3
2.411183334E-1,1.421898494E-2,-1.900345087E-5,-5.932585001E-3
2.510463333E-1,-5.572743695E-3,-6.078180671E-4,2.743104279E-2
2.609753333E-1,-3.510428907E-2,-1.110166982E-3,6.483392715E-2
2.709043333E-1,-5.250244170E-2,-5.179902166E-4,4.893885612E-2
2.808333333E-1,-7.269961992E-2,-2.055753116E-3,5.933169723E-3
2.907623334E-1,-9.396470072E-2,-3.085118886E-3,7.212540507E-3
3.006913334E-1,-1.026565320E-1,-2.399496306E-3,4.723322332E-2
3.106203334E-1,-7.435394341E-2,-4.768641908E-3,2.063716292E-2
3.205493334E-1,-8.132141249E-2,-6.357056312E-3,6.376856446E-2
3.304783333E-1,-8.770258857E-2,1.270216238E-2,1.661895633E-2
3.404073333E-1,-1.340266795E-1,-1.295540163E-2,5.954629004E-2
3.503363333E-1,-1.260380490E-1,1.790929064E-3,-5.180048347E-3
