"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.616666607E-4,-3.161425781E-1,-3.058140564E-1,9.770931244E0
9.667333332E-3,-1.712438965E-1,-2.399510193E-1,9.933044128E0
1.959733333E-2,-1.013392639E-1,-2.658471680E-1,9.965676270E0
2.952733333E-2,-2.335144043E-2,-2.891986084E-1,9.789492645E0
3.945633332E-2,5.194198608E-2,-2.802172852E-1,9.545350342E0
4.938633332E-2,9.729766846E-2,-2.754272461E-1,9.784552917E0
5.931533332E-2,9.145980835E-2,-2.800675964E-1,9.886640625E0
6.924533332E-2,1.392105103E-2,-2.848576355E-1,9.783654785E0
7.917533332E-2,-5.628295898E-2,-2.832110596E-1,9.862840118E0
8.910433331E-2,-1.348695374E-1,-2.811154175E-1,9.872719574E0
9.903433331E-2,-2.098635864E-1,-2.868035889E-1,9.788444824E0
1.089643333E-1,-2.809657288E-1,-2.845582581E-1,9.834848328E0
1.188933334E-1,-3.420387268E-1,-2.809657288E-1,9.881850586E0
1.288233334E-1,-3.812571716E-1,-2.854563904E-1,9.854158173E0
1.387523334E-1,-3.791615295E-1,-2.862048340E-1,9.781559143E0
1.486823334E-1,-3.385958862E-1,-2.616558838E-1,9.776918793E0
1.586123334E-1,-3.192860413E-1,-2.604583740E-1,9.893526306E0
1.685413333E-1,-2.559677124E-1,-2.665956116E-1,9.813592529E0
1.784713333E-1,-2.016307068E-1,-2.755769348E-1,9.852960663E0
1.884003333E-1,-1.675016785E-1,-2.697390747E-1,9.830058289E0
1.983303333E-1,-1.420545959E-1,-2.633024597E-1,9.754764862E0
2.082603333E-1,-1.357676697E-1,-2.618055725E-1,9.809101868E0
2.181893333E-1,-1.574725342E-1,-2.556683350E-1,9.861642609E0
2.281193333E-1,-7.873626709E-2,-2.809657288E-1,9.824519806E0
2.380493333E-1,-2.300715637E-1,-2.713856506E-1,9.712552643E0
2.479783333E-1,-3.391946411E-1,-3.029699707E-1,9.942773895E0
2.579083333E-1,-4.559518433E-1,-2.875520325E-1,9.814041595E0
2.678373333E-1,-5.417234802E-1,-2.610571289E-1,9.869725800E0
2.777673333E-1,-5.204676819E-1,-2.550695801E-1,1.001522324E1
2.876973333E-1,-4.378395081E-1,-2.851570129E-1,9.833351440E0
2.976263333E-1,-2.874023438E-1,-2.698887634E-1,9.701625366E0
3.075563333E-1,-1.787283325E-1,-2.709365845E-1,9.835596771E0
3.174853334E-1,-6.646179199E-2,-2.754272461E-1,9.786199493E0
3.274153334E-1,1.841171265E-2,-2.808160400E-1,9.778715057E0
3.373453334E-1,3.397933960E-2,-2.719844055E-1,9.829459534E0
3.472743334E-1,-6.541397095E-2,-2.957849121E-1,9.724827118E0
3.572043334E-1,-1.968406677E-1,-2.800675964E-1,9.913285217E0
3.671343334E-1,-3.529660034E-1,-2.520758057E-1,9.824519806E0
3.770633333E-1,-4.523593140E-1,-2.628533936E-1,9.877359924E0
3.869933333E-1,-4.924758911E-1,-2.806663513E-1,9.900112610E0
3.969223333E-1,-4.712200928E-1,-2.794688416E-1,9.779613190E0
