"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.332033333E-2,-1.974643829E-1,-2.730487084E-1,9.804210672E0
3.325033333E-2,-1.899695681E-1,-2.730032098E-1,9.804360361E0
4.317933333E-2,-1.860215098E-1,-2.726604350E-1,9.804445730E0
5.310933333E-2,-1.856175951E-1,-2.721757922E-1,9.804466780E0
6.303833332E-2,-1.886073678E-1,-2.719034033E-1,9.804417078E0
7.296833332E-2,-1.945237633E-1,-2.717562910E-1,9.804305397E0
8.289833332E-2,-2.021268248E-1,-2.715296200E-1,9.804158047E0
9.282733331E-2,-2.104720806E-1,-2.714071026E-1,9.803986139E0
1.027573333E-1,-2.186494299E-1,-2.712580717E-1,9.803811307E0
1.126873333E-1,-2.259017681E-1,-2.709869436E-1,9.803654017E0
1.226163334E-1,-2.310870789E-1,-2.705926403E-1,9.803544089E0
1.325463333E-1,-2.339619356E-1,-2.706029277E-1,9.803475677E0
1.424753334E-1,-2.347339508E-1,-2.707594687E-1,9.803452873E0
1.524053334E-1,-2.339206396E-1,-2.709365662E-1,9.803467491E0
1.623353334E-1,-2.326543337E-1,-2.712671897E-1,9.803488541E0
1.722643333E-1,-2.317849989E-1,-2.712795419E-1,9.803509006E0
1.821943333E-1,-2.317601848E-1,-2.712072740E-1,9.803511345E0
1.921233333E-1,-2.328733485E-1,-2.714154532E-1,9.803479185E0
2.020533333E-1,-2.355123979E-1,-2.716073332E-1,9.803410773E0
2.119833333E-1,-2.392940846E-1,-2.718501388E-1,9.803312539E0
2.219123333E-1,-2.446286456E-1,-2.718206104E-1,9.803181562E0
2.318423333E-1,-2.510308169E-1,-2.714442142E-1,9.803030119E0
2.417723333E-1,-2.578726439E-1,-2.712408772E-1,9.802858211E0
2.517013333E-1,-2.638971398E-1,-2.711339828E-1,9.802700921E0
2.616313333E-1,-2.674040988E-1,-2.709809137E-1,9.802610289E0
2.715603333E-1,-2.676472881E-1,-2.706804216E-1,9.802611458E0
2.814903333E-1,-2.648757993E-1,-2.702659819E-1,9.802698582E0
2.914203333E-1,-2.605052066E-1,-2.699411508E-1,9.802824297E0
3.013493333E-1,-2.561766042E-1,-2.697702294E-1,9.802943580E0
3.112793333E-1,-2.534457717E-1,-2.697028585E-1,9.803016086E0
3.212083333E-1,-2.535106210E-1,-2.696381737E-1,9.803016086E0
3.311383333E-1,-2.569913223E-1,-2.698733049E-1,9.802919022E0
3.410683333E-1,-2.643415099E-1,-2.699881113E-1,9.802720801E0
3.509973334E-1,-2.742045568E-1,-2.696378082E-1,9.802459431E0
3.609273334E-1,-2.844548172E-1,-2.693406783E-1,9.802175256E0
3.708573334E-1,-2.934662718E-1,-2.689721027E-1,9.801919733E0
3.807863333E-1,-3.001802458E-1,-2.687952427E-1,9.801721512E0
3.907163333E-1,-3.044287048E-1,-2.688711104E-1,9.801588196E0
4.006453333E-1,-3.067393417E-1,-2.687252954E-1,9.801520368E0
4.105753333E-1,-3.074106752E-1,-2.687365513E-1,9.801498733E0
4.205053333E-1,-3.077138168E-1,-2.686574860E-1,9.801491717E0
4.304343333E-1,-3.080095762E-1,-2.685475949E-1,9.801485285E0
4.403643333E-1,-3.083553294E-1,-2.682907377E-1,9.801481192E0
4.502933333E-1,-3.087803124E-1,-2.680636830E-1,9.801474175E0
4.602233333E-1,-3.090488823E-1,-2.678656268E-1,9.801471251E0
4.701533333E-1,-3.087431825E-1,-2.676347349E-1,9.801487039E0
4.800823333E-1,-3.075650782E-1,-2.673367462E-1,9.801532062E0
4.900123333E-1,-3.055980931E-1,-2.671463827E-1,9.801598721E0
4.999423333E-1,-3.028716461E-1,-2.668561598E-1,9.801691691E0
5.098713333E-1,-3.000262083E-1,-2.667374248E-1,9.801782323E0
5.198013333E-1,-2.974796545E-1,-2.668769357E-1,9.801855998E0
5.297303333E-1,-2.953804858E-1,-2.666471584E-1,9.801925580E0
5.396603333E-1,-2.945666447E-1,-2.665878275E-1,9.801951892E0
5.495903333E-1,-2.958696236E-1,-2.667053748E-1,9.801909208E0
5.595193334E-1,-2.988494196E-1,-2.671692234E-1,9.801806297E0
5.694493334E-1,-3.027475755E-1,-2.676246484E-1,9.801674150E0
5.793783334E-1,-3.065929421E-1,-2.686982703E-1,9.801525630E0
5.893083334E-1,-3.145754512E-1,-2.741304433E-1,9.801122172E0
5.992383334E-1,-3.222658554E-1,-2.779623247E-1,9.800764323E0
6.091673333E-1,-3.290795062E-1,-2.788462410E-1,9.800512893E0
6.190973333E-1,-3.376362485E-1,-2.787900164E-1,9.800223455E0
6.290273333E-1,-3.478630287E-1,-2.783193703E-1,9.799879054E0
6.389563333E-1,-3.583213221E-1,-2.772441404E-1,9.799532899E0
6.488863333E-1,-3.662607080E-1,-2.760904665E-1,9.799271529E0
6.588153333E-1,-3.697865791E-1,-2.750514711E-1,9.799168618E0
6.687453333E-1,-3.689820022E-1,-2.739741034E-1,9.799228844E0
6.786753333E-1,-3.642382292E-1,-2.726611659E-1,9.799443437E0
6.886043333E-1,-3.572136036E-1,-2.711263266E-1,9.799744568E0
6.985343333E-1,-3.489040523E-1,-2.690199403E-1,9.800101833E0
7.084633333E-1,-3.406720132E-1,-2.666211749E-1,9.800456759E0
7.183933333E-1,-3.326703910E-1,-2.642535824E-1,9.800795898E0
7.283233333E-1,-3.243090188E-1,-2.620762986E-1,9.801134452E0
7.382523333E-1,-3.147280270E-1,-2.599795419E-1,9.801502826E0
7.481823333E-1,-3.037430274E-1,-2.580194273E-1,9.801901022E0
7.581123333E-1,-2.916257328E-1,-2.564662606E-1,9.802309742E0
7.680413334E-1,-2.790691113E-1,-2.556763932E-1,9.802696243E0
7.779713334E-1,-2.670712277E-1,-2.551283811E-1,9.803044737E0
7.879003334E-1,-2.570759059E-1,-2.548553344E-1,9.803318971E0
7.978303334E-1,-2.504435737E-1,-2.555359686E-1,9.803472753E0
8.077603334E-1,-2.468752555E-1,-2.563228942E-1,9.803542920E0
8.176893333E-1,-2.463656341E-1,-2.569863705E-1,9.803538242E0
8.276193333E-1,-2.483168317E-1,-2.572652278E-1,9.803481524E0
8.375483333E-1,-2.528759240E-1,-2.571265575E-1,9.803368673E0
8.474783333E-1,-2.594054001E-1,-2.569417672E-1,9.803203197E0
8.574083333E-1,-2.668409205E-1,-2.568939296E-1,9.803004976E0
8.673373333E-1,-2.734297459E-1,-2.570849691E-1,9.802817865E0
8.772673333E-1,-2.777950943E-1,-2.575331217E-1,9.802683379E0
8.871973333E-1,-2.792664913E-1,-2.582558192E-1,9.802622568E0
8.971263333E-1,-2.788511746E-1,-2.589657626E-1,9.802616136E0
9.070563333E-1,-2.777322733E-1,-2.597980589E-1,9.802625492E0
9.169853333E-1,-2.766208821E-1,-2.605661455E-1,9.802636601E0
9.269153333E-1,-2.757324890E-1,-2.614142659E-1,9.802638940E0
9.368453333E-1,-2.765203465E-1,-2.625595892E-1,9.802586315E0
9.467743333E-1,-2.794293911E-1,-2.639021830E-1,9.802467617E0
9.567043333E-1,-2.846814333E-1,-2.652652421E-1,9.802279921E0
9.666333334E-1,-2.922525726E-1,-2.669915229E-1,9.802010365E0
9.765633334E-1,-3.019827962E-1,-2.686552385E-1,9.801670057E0
9.864933334E-1,-3.135079689E-1,-2.700214952E-1,9.801270107E0
9.964223334E-1,-3.259980601E-1,-2.711507936E-1,9.800831566E0
1.006352750E0,-3.377505250E-1,-2.722957149E-1,9.800401796E0
1.016282750E0,-3.469549195E-1,-2.735364027E-1,9.800045700E0
1.026211750E0,-3.530567084E-1,-2.748483900E-1,9.799791346E0
1.036141750E0,-3.564513094E-1,-2.759290286E-1,9.799638149E0
1.046070750E0,-3.583771995E-1,-2.769665073E-1,9.799538746E0
1.056000750E0,-3.603427776E-1,-2.776490053E-1,9.799446945E0
1.065930750E0,-3.630583707E-1,-2.781047958E-1,9.799334094E0
1.075859750E0,-3.675144972E-1,-2.783743341E-1,9.799160432E0
1.085789750E0,-3.727914997E-1,-2.785108484E-1,9.798956949E0
1.095718750E0,-3.782814870E-1,-2.784977652E-1,9.798747033E0
1.105648750E0,-3.830261736E-1,-2.785982460E-1,9.798559923E0
1.115578750E0,-3.856018356E-1,-2.787273050E-1,9.798455257E0
1.125507750E0,-3.853583721E-1,-2.786883479E-1,9.798465782E0
1.135437750E0,-3.813974683E-1,-2.788834439E-1,9.798615471E0
1.145366750E0,-3.740892527E-1,-2.791184654E-1,9.798890290E0
1.155296750E0,-3.639475860E-1,-2.793605219E-1,9.799265097E0
1.165226750E0,-3.520693329E-1,-2.796071282E-1,9.799691944E0
1.175155750E0,-3.398880843E-1,-2.800161044E-1,9.800110604E0
1.185085750E0,-3.281853208E-1,-2.801291749E-1,9.800506461E0
1.195015750E0,-3.177430341E-1,-2.798932946E-1,9.800857294E0
1.204944750E0,-3.092015677E-1,-2.794788549E-1,9.801142053E0
1.214874750E0,-3.020149742E-1,-2.791529092E-1,9.801375357E0
1.224803750E0,-2.967067805E-1,-2.791136597E-1,9.801538494E0
1.234733750E0,-2.927013281E-1,-2.791142262E-1,9.801658947E0
1.244663750E0,-2.882591070E-1,-2.794094010E-1,9.801782323E0
1.254592750E0,-2.834024280E-1,-2.797189562E-1,9.801915055E0
1.264522750E0,-2.773533189E-1,-2.799094475E-1,9.802082870E0
1.274451750E0,-2.692101941E-1,-2.801096233E-1,9.802303895E0
1.284381750E0,-2.597577314E-1,-2.800809171E-1,9.802560003E0
1.294311750E0,-2.492012414E-1,-2.802563519E-1,9.802828975E0
1.304240750E0,-2.381866402E-1,-2.805058635E-1,9.803095608E0
1.314170750E0,-2.275727013E-1,-2.807528901E-1,9.803340606E0
1.324099750E0,-2.182067226E-1,-2.807429133E-1,9.803554029E0
1.334029750E0,-2.106890306E-1,-2.801642948E-1,9.803734708E0
1.343959750E0,-2.054890469E-1,-2.795255047E-1,9.803863347E0
1.353888750E0,-2.027239168E-1,-2.793322177E-1,9.803926497E0
1.363818750E0,-2.039510281E-1,-2.800598306E-1,9.803880304E0
1.373748750E0,-2.085957091E-1,-2.805006924E-1,9.803769792E0
1.383677750E0,-2.184507708E-1,-2.806517881E-1,9.803551106E0
1.393607750E0,-2.325764013E-1,-2.806472017E-1,9.803226001E0
1.403536750E0,-2.506263357E-1,-2.806838930E-1,9.802780443E0
1.413466750E0,-2.708284658E-1,-2.805673506E-1,9.802246592E0
1.423396750E0,-2.920880283E-1,-2.802495728E-1,9.801644914E0
1.433325750E0,-3.132323458E-1,-2.800303570E-1,9.800998212E0
1.443255750E0,-3.329410440E-1,-2.799906507E-1,9.800349755E0
1.453184750E0,-3.501244759E-1,-2.798653376E-1,9.799754509E0
