"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.332033333E-2,-4.410864785E-4,-9.779138118E-2,-9.812405333E-4
3.325033333E-2,3.904127516E-3,-5.854570866E-2,-9.330371395E-4
4.317933333E-2,3.144144546E-3,-2.083604224E-2,1.492392505E-3
5.310933333E-2,6.155380514E-3,1.159966178E-2,-7.168203592E-5
6.303833332E-2,3.371398896E-3,4.798278958E-2,1.317873597E-3
7.296833332E-2,1.933025662E-3,7.050940394E-2,3.002589103E-3
8.289833332E-2,8.081062697E-4,8.242305368E-2,3.586354200E-3
9.282733331E-2,-9.647337720E-5,8.671694249E-2,3.025751794E-3
1.027573333E-1,1.771904528E-3,8.020517230E-2,-7.945457473E-4
1.126873333E-1,5.323495716E-3,6.535459310E-2,1.854766859E-3
1.226163334E-1,8.006496355E-4,3.994057700E-2,-6.834920496E-4
1.325463333E-1,-3.532845993E-3,1.934608631E-2,-8.866912685E-4
1.424753334E-1,-1.929976745E-3,-1.123590861E-3,-2.180639189E-3
1.524053334E-1,-4.489806946E-3,-1.283537410E-2,-3.367077559E-3
1.623353334E-1,-3.536181990E-3,-1.337056700E-2,-1.015539747E-3
1.722643333E-1,1.158438157E-3,-4.234326072E-3,-2.993735950E-3
1.821943333E-1,-1.115626190E-3,6.858524401E-3,-1.453289762E-3
1.921233333E-1,-1.178743318E-3,1.756256633E-2,6.229104474E-4
2.020533333E-1,-1.720971428E-3,3.409468755E-2,-3.055408597E-4
2.119833333E-1,-4.582804628E-3,4.049106687E-2,-2.023546025E-3
2.219123333E-1,5.225063767E-3,6.533095241E-2,-4.315708298E-3
2.318423333E-1,2.435935196E-3,6.874618679E-2,-1.504742075E-3
2.417723333E-1,2.816827502E-3,6.983343512E-2,2.993175527E-3
2.517013333E-1,8.841715753E-4,5.235644057E-2,1.878642710E-3
2.616313333E-1,3.874108195E-3,2.169571817E-2,2.674228512E-3
2.715603333E-1,1.118002459E-3,-1.297863852E-2,1.139182365E-3
2.814903333E-1,4.174787086E-3,-3.754711151E-2,-2.369191032E-3
2.914203333E-1,-2.901209518E-5,-4.713023081E-2,-2.767599653E-3
3.013493333E-1,2.234215848E-3,-3.808815032E-2,-2.297804691E-3
3.112793333E-1,2.778694034E-5,-1.488588937E-2,-2.653602976E-3
3.212083333E-1,-2.242418472E-3,1.503284462E-2,-3.946348559E-3
3.311383333E-1,-1.068763435E-3,5.246943235E-2,-1.715418417E-3
3.410683333E-1,-5.734153092E-4,8.869615197E-2,1.178904902E-3
3.509973334E-1,4.997651558E-3,1.047400981E-1,3.278008662E-3
3.609273334E-1,2.533045132E-3,9.995649755E-2,3.779242514E-3
3.708573334E-1,3.505631350E-3,8.218042552E-2,1.192780444E-3
3.807863333E-1,2.090523019E-3,5.665170774E-2,2.574954648E-3
3.907163333E-1,-1.357471570E-3,3.313253447E-2,-1.334299799E-3
4.006453333E-1,7.799509913E-4,1.441695914E-2,1.219883561E-3
4.105753333E-1,7.248236798E-4,9.506888688E-3,-2.656276338E-4
4.205053333E-1,-1.568361185E-4,6.432048045E-3,1.466099871E-3
4.304343333E-1,3.848558292E-3,3.906306345E-3,2.376101911E-3
