"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.332033333E-2,1.010648650E-1,-1.001264418E-2,1.467955184E-1
3.325033333E-2,1.684143923E-1,-1.215380318E-2,-1.159076017E-1
4.317933333E-2,2.581714732E-1,-5.311519336E-3,-2.466712242E-1
5.310933333E-2,2.820171312E-1,-1.604877971E-3,3.681816280E-2
6.303833332E-2,2.664455209E-1,-8.014486134E-3,4.225607336E-2
7.296833332E-2,1.885362145E-1,-1.160445727E-2,-2.484189570E-2
8.289833332E-2,1.239893126E-1,-9.585797433E-3,7.260312259E-2
9.282733331E-2,5.584363209E-2,-9.408937432E-3,3.670004904E-2
1.027573333E-1,-1.082337890E-2,-1.449769612E-2,-2.195278645E-2
1.126873333E-1,-7.317629591E-2,-9.829114694E-3,5.005508959E-2
1.226163334E-1,-1.281658325E-1,-1.366624033E-2,7.156991959E-2
1.325463333E-1,-1.531330779E-1,-1.620066114E-2,3.586272776E-2
1.424753334E-1,-1.329015290E-1,-1.110435588E-2,-4.734139681E-2
1.524053334E-1,-1.043758692E-1,1.212476810E-2,7.430641651E-3
1.623353334E-1,-7.271065654E-2,1.006037207E-2,8.494834900E-2
1.722643333E-1,-6.968510617E-3,6.423349120E-4,-3.946870565E-4
1.821943333E-1,3.716484787E-2,-4.669038244E-3,7.055542767E-2
1.921233333E-1,7.689770149E-2,4.221068434E-3,-6.801481247E-3
2.020533333E-1,9.360749066E-2,1.144833662E-2,-4.056271970E-2
2.119833333E-1,1.095139638E-1,9.894895870E-3,3.078734457E-2
2.219123333E-1,6.500218078E-2,6.123112869E-3,6.834050238E-2
2.318423333E-1,2.001366701E-1,-6.827081088E-3,-4.078140557E-2
2.417723333E-1,-2.324277358E-2,2.250264399E-3,-4.001015782E-2
2.517013333E-1,-9.760112068E-2,-4.066760413E-2,1.331872934E-1
2.616313333E-1,-2.172879789E-1,-2.949445210E-3,-1.880581498E-2
2.715603333E-1,-2.775190144E-1,1.306613328E-2,1.287855095E-1
2.814903333E-1,-2.445149173E-1,6.963522211E-3,1.824372214E-1
2.914203333E-1,-1.339245542E-1,-1.147362582E-2,-8.093131185E-3
3.013493333E-1,-8.622742742E-3,3.324306551E-3,-9.098969221E-2
3.112793333E-1,1.045054946E-1,-1.682792120E-3,3.916698933E-2
3.212083333E-1,2.102505807E-1,-7.585318778E-3,-3.028857708E-2
3.311383333E-1,2.908209732E-1,-7.948979046E-3,-1.451278925E-3
3.410683333E-1,2.846991760E-1,-2.894426566E-3,-3.498389125E-3
3.509973334E-1,1.670274327E-1,-3.288309630E-2,-4.125795364E-2
3.609273334E-1,5.887391506E-2,9.488021024E-4,1.111099613E-1
3.708573334E-1,-9.512562884E-2,1.989008976E-2,1.481567502E-2
3.807863333E-1,-1.656510530E-1,-1.841964293E-3,9.794203162E-2
3.907163333E-1,-1.923881592E-1,-1.224430712E-2,6.244943261E-2
4.006453333E-1,-1.472665482E-1,-7.450412549E-3,-1.127927899E-2
4.105753333E-1,-9.884447627E-2,-6.091958173E-3,4.517500341E-2
4.205053333E-1,-4.405467689E-2,2.510940582E-3,2.227964580E-2
4.304343333E-1,-1.591681536E-2,-3.885895070E-3,7.466894388E-3
4.403643333E-1,-2.470207416E-2,-4.292422738E-3,4.399503529E-2
4.502933333E-1,-2.292989273E-2,-5.717005469E-3,3.517041743E-2
4.602233333E-1,-4.990466997E-2,-4.418137874E-3,3.277832150E-2
4.701533333E-1,-6.173640121E-2,2.536010519E-3,1.644646347E-2
4.800823333E-1,-5.872322135E-2,-3.899215758E-3,-1.503319144E-2
4.900123333E-1,-3.509341691E-2,-4.239249621E-3,4.642162979E-2
4.999423333E-1,-1.416906433E-2,-3.631376736E-3,4.617955506E-2
5.098713333E-1,-1.267352929E-2,-7.941395938E-3,-2.516290784E-2
5.198013333E-1,-2.346871365E-3,9.861402288E-3,-3.302039623E-2
5.297303333E-1,4.719660513E-2,-1.207320297E-2,7.648158073E-2
5.396603333E-1,4.877776533E-2,2.237564977E-3,8.244340181E-2
5.495903333E-1,1.479771859E-1,5.648282412E-3,-5.477905512E-2
5.595193334E-1,2.072777649E-2,-1.334743917E-2,1.882160246E-2
5.694493334E-1,-1.412291518E-1,-1.693359135E-2,4.799277663E-2
5.793783334E-1,2.759067543E-1,-6.780199209E-2,4.881840348E-3
5.893083334E-1,3.106501423E-2,7.249973651E-2,-2.110149032E-1
5.992383334E-1,-1.095861038E-1,-1.497848343E-2,-4.477639872E-1
6.091673333E-1,3.965891192E-1,-3.460195843E-2,5.339963847E-1
6.190973333E-1,1.137019223E-1,4.228185592E-2,1.531502724E-2
6.290273333E-1,1.558124000E-1,-3.288348002E-2,1.177471358E-1
6.389563333E-1,-3.446188107E-2,-2.662398085E-2,2.349001944E-2
6.488863333E-1,-2.125855384E-1,-2.180865258E-3,1.710445064E-1
6.588153333E-1,-2.924363213E-1,2.058066420E-2,7.130562544E-2
6.687453333E-1,-3.097066575E-1,6.180982031E-3,2.529037714E-2
6.786753333E-1,-2.490364595E-1,-1.668714948E-2,9.977104068E-2
6.886043333E-1,-1.202934154E-1,-8.192826211E-3,3.210998476E-2
6.985343333E-1,-6.190739572E-4,-1.688549800E-2,1.016573524E-1
7.084633333E-1,-1.648527436E-2,6.911244448E-3,4.902890325E-3
7.183933333E-1,-1.117554208E-1,8.285851758E-3,-7.971099794E-2
7.283233333E-1,-9.407095559E-2,1.015016338E-2,2.802570462E-2
7.382523333E-1,-8.598867830E-2,-1.794547029E-4,7.149975300E-3
7.481823333E-1,-1.411318322E-1,-3.327480493E-2,1.199030042E-2
7.581123333E-1,-1.845340695E-1,-2.689446939E-2,5.364411056E-2
7.680413334E-1,-1.867621876E-1,2.141354525E-2,-4.553636134E-2
7.779713334E-1,1.479189878E-1,-5.173349630E-2,5.590347469E-2
7.879003334E-1,9.601084247E-2,1.582019012E-3,2.374554276E-2
7.978303334E-1,1.253038215E-1,-2.108876897E-2,-8.523252368E-2
8.077603334E-1,2.447796134E-1,1.143214714E-2,-1.001212889E-1
8.176893333E-1,2.120869171E-1,-1.948869668E-2,5.316463888E-2
8.276193333E-1,2.442752545E-1,-4.630347949E-2,-1.413915217E-2
