"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.648166650E-3,-4.601431274E-1,-2.975811768E-1,9.950408020E0
1.457716664E-2,-2.811154175E-1,-2.621049500E-1,9.930649109E0
2.450616669E-2,-1.416055298E-1,-2.606080627E-1,9.836494904E0
3.443516669E-2,-2.649490356E-2,-2.516267395E-1,9.824519806E0
4.436416668E-2,7.469467163E-2,-2.356100464E-1,9.698182526E0
5.429316667E-2,8.936416626E-2,-2.345622253E-1,9.758806458E0
6.422216666E-2,9.280700684E-3,-2.393522644E-1,9.789492645E0
7.415116666E-2,-1.459465027E-1,-2.508782959E-1,9.740095367E0
8.408016665E-2,-3.305126953E-1,-2.689906311E-1,9.827214203E0
9.400916670E-2,-4.805007935E-1,-2.817141724E-1,9.846823425E0
1.039381667E-1,-5.812413025E-1,-2.848576355E-1,9.848020935E0
1.138671667E-1,-6.265969849E-1,-2.848576355E-1,9.895172882E0
1.237961667E-1,-6.047424316E-1,-2.887495422E-1,9.846074982E0
1.337251667E-1,-5.628295898E-1,-2.832110596E-1,9.850715332E0
1.436541667E-1,-4.921765137E-1,-2.700384521E-1,9.832752686E0
1.535831667E-1,-4.305047607E-1,-2.683918762E-1,9.810598755E0
1.635121666E-1,-3.818559265E-1,-2.640509033E-1,9.813442841E0
1.734411667E-1,-3.366499329E-1,-2.606080627E-1,9.778565369E0
1.833701667E-1,-3.219804382E-1,-2.652484131E-1,9.802814941E0
1.933001667E-1,-2.887495422E-1,-2.618055725E-1,9.857002258E0
2.032291667E-1,-2.619552612E-1,-2.659968567E-1,9.837093658E0
2.131581667E-1,-2.459385681E-1,-2.595602417E-1,9.842781830E0
2.230871667E-1,-2.436932373E-1,-2.528242493E-1,9.843380585E0
2.330161667E-1,-2.453398132E-1,-2.612068176E-1,9.817185059E0
2.429451667E-1,-2.592608643E-1,-2.570155334E-1,9.843679962E0
2.528741666E-1,-2.716850281E-1,-2.650987244E-1,9.793833618E0
2.628031667E-1,-2.857557678E-1,-2.577639771E-1,9.774823151E0
2.727321667E-1,-3.085084534E-1,-2.640509033E-1,9.796378326E0
2.826611667E-1,-3.249742126E-1,-2.597099304E-1,9.821076965E0
