"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.457716664E-2,-2.852951169E-1,-2.361660618E-1,9.803006145E0
2.450616669E-2,-2.786211049E-1,-2.355946974E-1,9.803211967E0
3.443516669E-2,-2.757975576E-1,-2.351534519E-1,9.803302599E0
4.436416668E-2,-2.778367740E-1,-2.348554815E-1,9.803251728E0
5.429316667E-2,-2.846191422E-1,-2.349803195E-1,9.803054677E0
6.422216666E-2,-2.950978643E-1,-2.354709192E-1,9.802733080E0
7.415116666E-2,-3.076060087E-1,-2.359698694E-1,9.802336054E0
8.408016665E-2,-3.201181731E-1,-2.367082814E-1,9.801917979E0
9.400916670E-2,-3.308723722E-1,-2.374020718E-1,9.801543757E0
1.039381667E-1,-3.386035607E-1,-2.378641663E-1,9.801268938E0
1.138671667E-1,-3.427764992E-1,-2.379523862E-1,9.801121588E0
1.237961667E-1,-3.435135773E-1,-2.377533798E-1,9.801100538E0
1.337251667E-1,-3.415994913E-1,-2.374400970E-1,9.801174797E0
1.436541667E-1,-3.375979127E-1,-2.369774543E-1,9.801325071E0
1.535831667E-1,-3.323747411E-1,-2.364887915E-1,9.801515105E0
1.635121666E-1,-3.263647536E-1,-2.360645760E-1,9.801727359E0
1.734411667E-1,-3.200764021E-1,-2.358870765E-1,9.801939029E0
1.833701667E-1,-3.140072115E-1,-2.354744458E-1,9.802145435E0
1.933001667E-1,-3.085592876E-1,-2.350890777E-1,9.802327284E0
2.032291667E-1,-3.040079977E-1,-2.346475764E-1,9.802480481E0
2.131581667E-1,-3.006197555E-1,-2.343173549E-1,9.802592747E0
2.230871667E-1,-2.982086744E-1,-2.338680147E-1,9.802676947E0
2.330161667E-1,-2.967366378E-1,-2.334212874E-1,9.802732496E0
2.429451667E-1,-2.960086960E-1,-2.330811073E-1,9.802762316E0
2.528741666E-1,-2.958761652E-1,-2.327495885E-1,9.802774596E0
2.628031667E-1,-2.960720835E-1,-2.326984984E-1,9.802769918E0
2.727321667E-1,-2.962513372E-1,-2.326805000E-1,9.802764655E0
2.826611667E-1,-2.963077628E-1,-2.324657975E-1,9.802768164E0
2.925901667E-1,-2.958673213E-1,-2.322544755E-1,9.802786290E0
3.025191667E-1,-2.950471031E-1,-2.320441402E-1,9.802816111E0
3.124481667E-1,-2.940133337E-1,-2.320653912E-1,9.802846516E0
3.223771667E-1,-2.926136930E-1,-2.321510711E-1,9.802886277E0
3.323061666E-1,-2.906854092E-1,-2.323554862E-1,9.802938902E0
3.422351667E-1,-2.880599728E-1,-2.328343000E-1,9.803004976E0
3.521641667E-1,-2.844780416E-1,-2.331685415E-1,9.803102040E0
3.620931667E-1,-2.802320859E-1,-2.333629980E-1,9.803219569E0
3.720221667E-1,-2.752456352E-1,-2.334520401E-1,9.803358732E0
3.819511667E-1,-2.700182062E-1,-2.335584960E-1,9.803501405E0
3.918801667E-1,-2.647427568E-1,-2.336817078E-1,9.803642322E0
4.018091667E-1,-2.597770638E-1,-2.339463491E-1,9.803769207E0
4.117381666E-1,-2.554660578E-1,-2.342902933E-1,9.803873872E0
4.216681666E-1,-2.521573743E-1,-2.347488794E-1,9.803948717E0
4.315971667E-1,-2.499154239E-1,-2.353585065E-1,9.803991401E0
4.415261667E-1,-2.488409067E-1,-2.357279409E-1,9.804010112E0
4.514551667E-1,-2.486660384E-1,-2.360128465E-1,9.804007773E0
4.613841667E-1,-2.492954363E-1,-2.362863682E-1,9.803984969E0
4.713131667E-1,-2.501638941E-1,-2.364160851E-1,9.803959826E0
4.812421667E-1,-2.510552838E-1,-2.368344716E-1,9.803927082E0
4.911711667E-1,-2.522832539E-1,-2.375450910E-1,9.803877965E0
5.011001666E-1,-2.542181341E-1,-2.385313519E-1,9.803804290E0
5.110291667E-1,-2.569833372E-1,-2.395072339E-1,9.803708396E0
5.209581667E-1,-2.603829815E-1,-2.396882783E-1,9.803614256E0
5.308871667E-1,-2.635667356E-1,-2.389696555E-1,9.803546428E0
5.408161667E-1,-2.656221050E-1,-2.368836430E-1,9.803541750E0
5.507451667E-1,-2.655536743E-1,-2.340190738E-1,9.803612502E0
5.606741667E-1,-2.621540848E-1,-2.317285915E-1,9.803758097E0
5.706031666E-1,-2.550289602E-1,-2.305880373E-1,9.803973275E0
5.805321667E-1,-2.445149356E-1,-2.300461649E-1,9.804253941E0
5.904611667E-1,-2.311485660E-1,-2.301595460E-1,9.804575538E0
6.003901667E-1,-2.169789170E-1,-2.306127966E-1,9.804888364E0
6.103191667E-1,-2.050811122E-1,-2.318163363E-1,9.805116405E0
6.202481667E-1,-1.983034584E-1,-2.335668282E-1,9.805214054E0
6.301781667E-1,-1.986058690E-1,-2.357056849E-1,9.805156751E0
6.401071667E-1,-2.060536686E-1,-2.382582321E-1,9.804941574E0
6.500361667E-1,-2.197106082E-1,-2.410358788E-1,9.804576707E0
6.599651666E-1,-2.372680244E-1,-2.438418114E-1,9.804098405E0
6.698941667E-1,-2.561537635E-1,-2.459981549E-1,9.803569232E0
6.798231667E-1,-2.739902928E-1,-2.479021179E-1,9.803038890E0
6.897521667E-1,-2.887204523E-1,-2.491437376E-1,9.802584561E0
6.996811667E-1,-2.988131851E-1,-2.497879364E-1,9.802265888E0
7.096101667E-1,-3.042254775E-1,-2.499031813E-1,9.802096319E0
7.195391667E-1,-3.055465463E-1,-2.495424081E-1,9.802064744E0
7.294681667E-1,-3.039110801E-1,-2.488476858E-1,9.802133156E0
7.393971666E-1,-3.007249140E-1,-2.478513751E-1,9.802256532E0
7.493261667E-1,-2.974080992E-1,-2.464779372E-1,9.802392188E0
7.592551667E-1,-2.950512875E-1,-2.447226396E-1,9.802507378E0
7.691841667E-1,-2.941098676E-1,-2.430175184E-1,9.802578129E0
7.791131667E-1,-2.956240954E-1,-2.411099192E-1,9.802579883E0
7.890421667E-1,-3.010482650E-1,-2.385617939E-1,9.802476972E0
7.989711667E-1,-3.101464777E-1,-2.359643328E-1,9.802256532E0
8.089001667E-1,-3.209808567E-1,-2.342119223E-1,9.801949553E0
8.188291666E-1,-3.313908009E-1,-2.345082117E-1,9.801596382E0
8.287581250E-1,-3.378286219E-1,-2.362768665E-1,9.801333842E0
8.386871250E-1,-3.457194394E-1,-2.374352182E-1,9.801030956E0
8.486171250E-1,-3.495960703E-1,-2.378868608E-1,9.800882437E0
8.585461250E-1,-3.488054171E-1,-2.378100065E-1,9.800912257E0
8.684751250E-1,-3.432152962E-1,-2.368078668E-1,9.801133867E0
8.784041250E-1,-3.332380825E-1,-2.359567680E-1,9.801498733E0
8.883331250E-1,-3.186423725E-1,-2.348300644E-1,9.802010949E0
8.982621250E-1,-3.008215392E-1,-2.334004201E-1,9.802608535E0
9.081911250E-1,-2.815897363E-1,-2.324000894E-1,9.803203197E0
9.181201250E-1,-2.626375582E-1,-2.311863171E-1,9.803758097E0
9.280491250E-1,-2.444428321E-1,-2.300095650E-1,9.804256280E0
9.379781250E-1,-2.276368562E-1,-2.291794796E-1,9.804680203E0
9.479071250E-1,-2.125340281E-1,-2.282262738E-1,9.805041561E0
9.578361250E-1,-2.003767166E-1,-2.275094052E-1,9.805314041E0
9.677651250E-1,-1.916982060E-1,-2.269185075E-1,9.805501737E0
9.776941250E-1,-1.865134799E-1,-2.264884265E-1,9.805611665E0
9.876231250E-1,-1.851864543E-1,-2.264439694E-1,9.805637392E0
9.975521250E-1,-1.876783549E-1,-2.266261650E-1,9.805585937E0
1.007481125E0,-1.935717453E-1,-2.268917382E-1,9.805465484E0
1.017410125E0,-2.024273716E-1,-2.274550078E-1,9.805273696E0
1.027339125E0,-2.133213557E-1,-2.281092564E-1,9.805027528E0
1.037268125E0,-2.255978042E-1,-2.288253211E-1,9.804735752E0
1.047197125E0,-2.384825459E-1,-2.296944366E-1,9.804410647E0
1.057127125E0,-2.510194513E-1,-2.305285419E-1,9.804077940E0
1.067056125E0,-2.622550041E-1,-2.313231237E-1,9.803765114E0
1.076985125E0,-2.718629844E-1,-2.319015412E-1,9.803489710E0
1.086914125E0,-2.790232106E-1,-2.322007177E-1,9.803281549E0
1.096843125E0,-2.834083117E-1,-2.324082025E-1,9.803150572E0
1.106772125E0,-2.849122521E-1,-2.324209384E-1,9.803106717E0
1.116701125E0,-2.835296963E-1,-2.320905890E-1,9.803154665E0
1.126630125E0,-2.793122458E-1,-2.317317527E-1,9.803284473E0
1.136559125E0,-2.727940073E-1,-2.312425417E-1,9.803479770E0
1.146488125E0,-2.646318973E-1,-2.307228522E-1,9.803715413E0
1.156417125E0,-2.553853115E-1,-2.301335077E-1,9.803974444E0
1.166346125E0,-2.456549964E-1,-2.293109689E-1,9.804242247E0
1.176275125E0,-2.363308436E-1,-2.286279410E-1,9.804487830E0
1.186204125E0,-2.277466194E-1,-2.281512102E-1,9.804701838E0
1.196133125E0,-2.206595930E-1,-2.276509809E-1,9.804875500E0
1.206062125E0,-2.154219131E-1,-2.273000383E-1,9.805000046E0
1.215991125E0,-2.122356191E-1,-2.270607593E-1,9.805075475E0
1.225920125E0,-2.112831625E-1,-2.269360857E-1,9.805098864E0
1.235849125E0,-2.125931763E-1,-2.268800986E-1,9.805071382E0
1.245778125E0,-2.158553379E-1,-2.269494795E-1,9.804998876E0
1.255707125E0,-2.209463259E-1,-2.271385455E-1,9.804880763E0
1.265637125E0,-2.272972792E-1,-2.273939958E-1,9.804729905E0
1.275566125E0,-2.344179636E-1,-2.278054936E-1,9.804552734E0
1.285495125E0,-2.417871546E-1,-2.282482192E-1,9.804363284E0
1.295424125E0,-2.490624065E-1,-2.286742254E-1,9.804171495E0
1.305353125E0,-2.555450135E-1,-2.290698991E-1,9.803995494E0
1.315282125E0,-2.631399437E-1,-2.278789675E-1,9.803822417E0
1.325211125E0,-2.771881534E-1,-2.311274247E-1,9.803358732E0
1.335140125E0,-2.916458874E-1,-2.299928090E-1,9.802966384E0
1.345069125E0,-3.070854238E-1,-2.323214809E-1,9.802439550E0
1.354998125E0,-3.226578747E-1,-2.322788145E-1,9.801940783E0
1.364927125E0,-3.345593340E-1,-2.337623262E-1,9.801506335E0
1.374856125E0,-3.408536058E-1,-2.336439384E-1,9.801292326E0
1.384785125E0,-3.386823154E-1,-2.339339786E-1,9.801360739E0
1.394714125E0,-3.268452120E-1,-2.330398662E-1,9.801783493E0
1.404643125E0,-3.059480307E-1,-2.315429424E-1,9.802493929E0
1.414572125E0,-2.793882962E-1,-2.298705291E-1,9.803325988E0
1.424501125E0,-2.496130498E-1,-2.274263747E-1,9.804186113E0
1.434430125E0,-2.190206733E-1,-2.259408713E-1,9.804952099E0
1.444359125E0,-1.902613259E-1,-2.234401634E-1,9.805609326E0
1.454288125E0,-1.658929633E-1,-2.223680033E-1,9.806076518E0
1.464217125E0,-1.479522164E-1,-2.209261895E-1,9.806395776E0
1.474147125E0,-1.365857682E-1,-2.205547269E-1,9.806569439E0
1.484076125E0,-1.314911441E-1,-2.200912071E-1,9.806649545E0
1.494005125E0,-1.323281547E-1,-2.205059392E-1,9.806628495E0
1.503934125E0,-1.389571888E-1,-2.208218898E-1,9.806529678E0
1.513863125E0,-1.507128788E-1,-2.215218564E-1,9.806340228E0
1.523792125E0,-1.664859257E-1,-2.224668760E-1,9.806064239E0
1.533721125E0,-1.851868380E-1,-2.234700572E-1,9.805705805E0
1.543650125E0,-2.051647274E-1,-2.247706790E-1,9.805278373E0
1.553579125E0,-2.250595863E-1,-2.258969076E-1,9.804815859E0
1.563508125E0,-2.429247304E-1,-2.269388814E-1,9.804365623E0
1.573437125E0,-2.572030463E-1,-2.274151371E-1,9.803990232E0
1.583366125E0,-2.670491728E-1,-2.284656259E-1,9.803702549E0
1.593295125E0,-2.714504999E-1,-2.282636595E-1,9.803586774E0
1.603224125E0,-2.702902113E-1,-2.285566781E-1,9.803611917E0
1.613153125E0,-2.642670858E-1,-2.281014723E-1,9.803786749E0
1.623082125E0,-2.544875629E-1,-2.274890678E-1,9.804059814E0
1.633011125E0,-2.419811177E-1,-2.268716567E-1,9.804390766E0
1.642940125E0,-2.282431942E-1,-2.257094860E-1,9.804746861E0
1.652869125E0,-2.146294509E-1,-2.252638368E-1,9.805064365E0
1.662798125E0,-2.029967808E-1,-2.243340930E-1,9.805333337E0
1.672728125E0,-1.948285495E-1,-2.238344850E-1,9.805510508E0
1.682657125E0,-1.914274982E-1,-2.233356444E-1,9.805588861E0
1.692586125E0,-1.925291319E-1,-2.232036618E-1,9.805570734E0
1.702515125E0,-1.983259336E-1,-2.233694669E-1,9.805451451E0
1.712444125E0,-2.092593498E-1,-2.239334491E-1,9.805211130E0
1.722373125E0,-2.235482089E-1,-2.251943463E-1,9.804866729E0
1.732302125E0,-2.381690438E-1,-2.264319461E-1,9.804494262E0
1.742231125E0,-2.501531498E-1,-2.274434047E-1,9.804172080E0
1.752160125E0,-2.574755449E-1,-2.280103106E-1,9.803969766E0
1.762089125E0,-2.593803850E-1,-2.281927072E-1,9.803914803E0
1.772018125E0,-2.558870391E-1,-2.279615229E-1,9.804012451E0
1.781947125E0,-2.473888055E-1,-2.273296033E-1,9.804245170E0
1.791876125E0,-2.348362405E-1,-2.264969963E-1,9.804573199E0
1.801805125E0,-2.188840129E-1,-2.254303911E-1,9.804966717E0
1.811734125E0,-2.002661494E-1,-2.242379794E-1,9.805391809E0
1.821662375E0,-1.802169971E-1,-2.231284154E-1,9.805806377E0
1.831591375E0,-1.603170767E-1,-2.218161175E-1,9.806181768E0
1.841520375E0,-1.413888630E-1,-2.204599106E-1,9.806503365E0
1.851449375E0,-1.233848658E-1,-2.193397668E-1,9.806771168E0
1.861379375E0,-1.053821750E-1,-2.180056698E-1,9.807010903E0
1.871308375E0,-8.495866385E-2,-2.166877987E-1,9.807238360E0
1.881237375E0,-6.004662441E-2,-2.150916368E-1,9.807457631E0
1.891166375E0,-2.913912640E-2,-2.133939708E-1,9.807635386E0
1.901095375E0,7.864483354E-3,-2.114537733E-1,9.807717832E0
1.911024375E0,5.038357977E-2,-2.090278366E-1,9.807643572E0
1.920953375E0,9.815643257E-2,-2.062026082E-1,9.807341271E0
1.930882375E0,1.498047057E-1,-2.032204185E-1,9.806750702E0
1.940811375E0,2.036850164E-1,-2.002039679E-1,9.805841460E0
1.950740375E0,2.558022545E-1,-1.971049984E-1,9.804683127E0
1.960669375E0,3.041882381E-1,-1.940768716E-1,9.803361656E0
1.970598375E0,3.502543206E-1,-1.912417212E-1,9.801879972E0
1.980527375E0,3.972559211E-1,-1.880676333E-1,9.800148611E0
1.990456375E0,4.483232368E-1,-1.842278947E-1,9.798018470E0
2.000385375E0,5.074977901E-1,-1.795300954E-1,9.795218824E0
2.010314375E0,5.830900459E-1,-1.745732280E-1,9.791099460E0
2.020243375E0,6.899677194E-1,-1.688913424E-1,9.784248862E0
2.030172375E0,8.383193281E-1,-1.641324763E-1,9.772736864E0
2.040101375E0,1.012366234E0,-1.652114885E-1,9.756224912E0
2.050030375E0,1.204125232E0,-1.728009552E-1,9.734286159E0
2.059960375E0,1.430928422E0,-1.820581391E-1,9.703370760E0
2.069889375E0,1.696848972E0,-1.938694234E-1,9.660187318E0
2.079818375E0,1.994446814E0,-2.086527925E-1,9.602850691E0
2.089747375E0,2.317246301E0,-2.240737274E-1,9.529756402E0
2.099676375E0,2.653009211E0,-2.349257212E-1,9.441528350E0
2.109605375E0,3.001997353E0,-2.373687427E-1,9.336367931E0
2.119534375E0,3.386226665E0,-2.239259573E-1,9.204315582E0
2.129463375E0,3.834520117E0,-1.879106355E-1,9.027582319E0
2.139392375E0,4.345707391E0,-1.307508043E-1,8.793965589E0
2.149321375E0,4.900728024E0,-5.683892413E-2,8.497984210E0
2.159250375E0,5.470542113E0,3.033706557E-2,8.142993316E0
2.169179375E0,6.021141082E0,1.251888506E-1,7.743790455E0
2.179108375E0,6.353942962E0,1.399195857E-1,7.472879598E0
2.189037375E0,6.567470414E0,1.293796505E-1,7.286130055E0
2.198966375E0,6.821135493E0,1.452795181E-1,7.048908516E0
2.208895375E0,7.096953918E0,1.682564078E-1,6.770600932E0
2.218824375E0,7.365859764E0,1.956966965E-1,6.476257943E0
2.228753375E0,7.645281243E0,2.248215315E-1,6.142901162E0
2.238682375E0,7.922905288E0,2.558464192E-1,5.779118394E0
2.248612375E0,8.184213848E0,2.882783480E-1,5.401076607E0
2.258541375E0,8.425102760E0,3.149218622E-1,5.015433438E0
2.268470375E0,8.647078854E0,3.385632149E-1,4.620551670E0
2.278399375E0,8.849852107E0,3.604563232E-1,4.217378549E0
2.288328375E0,9.034429994E0,3.799123120E-1,3.804053785E0
2.298257375E0,9.202610534E0,3.991008273E-1,3.374727238E0
2.308186375E0,9.351711609E0,4.182584254E-1,2.933708307E0
2.318115375E0,9.478985614E0,4.365943069E-1,2.488837229E0
2.328044375E0,9.584025580E0,4.535580297E-1,2.043728463E0
2.337973375E0,9.667386410E0,4.688710835E-1,1.599345774E0
2.347902375E0,9.729554007E0,4.834813385E-1,1.156779889E0
2.357831375E0,9.770918965E0,4.994012968E-1,7.182439041E-1
2.367760375E0,9.792044955E0,5.176504934E-1,2.898536062E-1
2.377689375E0,9.794462194E0,5.387236393E-1,-1.199956369E-1
2.387618375E0,9.780901916E0,5.619718033E-1,-5.042569708E-1
2.397547375E0,9.754566057E0,5.857931041E-1,-8.610401463E-1
2.407476375E0,9.718378224E0,6.089754503E-1,-1.190968339E0
2.417405375E0,9.673853431E0,6.309873667E-1,-1.501504753E0
2.427335375E0,9.620014023E0,6.525121370E-1,-1.807114449E0
2.437264375E0,9.554218814E0,6.739241291E-1,-2.121039763E0
2.447193375E0,9.473367024E0,6.952402268E-1,-2.451133067E0
2.457122375E0,9.374958969E0,7.164645233E-1,-2.798734689E0
2.467051375E0,9.257181428E0,7.379167881E-1,-3.161678089E0
2.476980375E0,9.118940971E0,7.601180812E-1,-3.535987014E0
2.486909375E0,8.960459792E0,7.832376795E-1,-3.915718062E0
2.496838375E0,8.784228221E0,8.065690202E-1,-4.292186072E0
2.506767375E0,8.596826713E0,8.271227872E-1,-4.652588272E0
2.516696375E0,8.406565332E0,8.425524929E-1,-4.985562937E0
2.526625375E0,8.215370151E0,8.513153496E-1,-5.293303066E0
2.536554375E0,8.025525092E0,8.524555566E-1,-5.576767895E0
2.546483375E0,7.837629495E0,8.462319265E-1,-5.838796247E0
2.556412375E0,7.654424534E0,8.335693424E-1,-6.078734402E0
2.566341375E0,7.485730609E0,8.162400956E-1,-6.287580573E0
2.576270375E0,7.344289386E0,7.955237029E-1,-6.454818542E0
2.586199375E0,7.238448935E0,7.717942400E-1,-6.576116692E0
2.596128375E0,7.151790276E0,7.443635626E-1,-6.673372845E0
2.606058375E0,7.059155762E0,7.101185402E-1,-6.774967632E0
2.615987375E0,6.948075036E0,6.673384101E-1,-6.893111209E0
2.625916375E0,6.836329483E0,6.156980672E-1,-7.008683766E0
2.635845375E0,6.726702375E0,5.607874498E-1,-7.118502662E0
2.645774375E0,6.606359076E0,5.104091553E-1,-7.234062354E0
2.655703375E0,6.480810000E0,4.672791425E-1,-7.349616199E0
2.665632375E0,6.346908177E0,4.327701548E-1,-7.467633476E0
2.675561375E0,6.205568111E0,4.066803537E-1,-7.586938310E0
2.685490375E0,6.052661667E0,3.906354843E-1,-7.710304620E0
2.695419375E0,5.887683647E0,3.859422166E-1,-7.837240071E0
2.705348375E0,5.722572311E0,3.878479704E-1,-7.958509569E0
2.715277375E0,5.564160129E0,3.940245305E-1,-8.069755186E0
2.725206375E0,5.396954319E0,4.002350409E-1,-8.182221701E0
2.735135375E0,5.233341624E0,4.054792990E-1,-8.287570401E0
2.745064375E0,5.069572223E0,4.070636021E-1,-8.388673437E0
2.754993375E0,4.905257862E0,4.022870116E-1,-8.486031332E0
2.764922375E0,4.737014464E0,3.917057075E-1,-8.581573666E0
2.774851375E0,4.567927898E0,3.773458229E-1,-8.673393078E0
2.784780375E0,4.396534898E0,3.607129429E-1,-8.762217547E0
2.794710375E0,4.221803429E0,3.425027399E-1,-8.848456961E0
2.804639375E0,4.041104585E0,3.233952451E-1,-8.933140431E0
2.814568375E0,3.852364358E0,3.050219779E-1,-9.016779588E0
2.824498500E0,3.651863918E0,2.909687250E-1,-9.100295954E0
2.834427500E0,3.441945660E0,2.829865813E-1,-9.181997344E0
2.844356500E0,3.225261589E0,2.776837232E-1,-9.260491537E0
2.854285500E0,3.005471184E0,2.737037245E-1,-9.334256501E0
2.864214500E0,2.785124710E0,2.696191885E-1,-9.402469534E0
2.874143500E0,2.563756434E0,2.643105380E-1,-9.465377973E0
2.884072500E0,2.341019325E0,2.573854429E-1,-9.523100517E0
2.894001500E0,2.120234163E0,2.490217318E-1,-9.574901585E0
2.903930500E0,1.905510079E0,2.383850253E-1,-9.620203473E0
2.913859500E0,1.686020514E0,2.242975844E-1,-9.661426343E0
2.923788500E0,1.460852279E0,2.076091376E-1,-9.698395949E0
2.933717500E0,1.245286488E0,1.893848100E-1,-9.728799132E0
2.943646500E0,1.028895801E0,1.711172677E-1,-9.754392979E0
2.953575500E0,8.154759376E-1,1.546222906E-1,-9.774824320E0
2.963505500E0,6.054844068E-1,1.419199090E-1,-9.790267401E0
2.973434500E0,4.705187558E-1,1.557166884E-1,-9.797472925E0
2.983363500E0,4.616768887E-1,1.814339306E-1,-9.797450121E0
2.993292500E0,4.644569473E-1,1.920725009E-1,-9.797118584E0
3.003221500E0,4.744393139E-1,1.880181147E-1,-9.796714541E0
