"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.457716664E-2,7.413167506E-3,-8.193959296E-2,1.321425661E-4
2.450616669E-2,7.556711324E-3,-5.418838933E-2,2.003811998E-3
3.443516669E-2,4.434448201E-3,-4.357511643E-3,1.529040746E-4
4.436416668E-2,4.916382022E-4,4.642923921E-2,3.698636545E-3
5.429316667E-2,-5.135159008E-3,8.980001509E-2,2.051197691E-3
6.422216666E-2,-4.964982625E-3,1.218556836E-1,4.744452424E-3
7.415116666E-2,-6.630560849E-3,1.325638443E-1,2.956990851E-3
8.408016665E-2,-7.251876406E-3,1.220315769E-1,5.032125860E-3
9.400916670E-2,-7.029829547E-3,9.683069587E-2,5.499994848E-3
1.039381667E-1,-2.434811788E-3,6.131051481E-2,4.687464330E-3
1.138671667E-1,4.951078445E-4,2.416445315E-2,1.810304821E-3
1.237961667E-1,3.940439783E-3,-5.206218921E-3,1.039586030E-3
1.337251667E-1,4.287485965E-3,-3.077960387E-2,-1.927101985E-4
1.436541667E-1,5.684047937E-3,-4.847311229E-2,-2.198603470E-3
1.535831667E-1,3.926014062E-3,-5.774019286E-2,-2.334234305E-4
1.635121666E-1,2.643702086E-3,-6.473392248E-2,-2.785264049E-3
1.734411667E-1,2.321522683E-3,-6.355032325E-2,-5.392176099E-4
1.833701667E-1,6.325852126E-3,-5.931936204E-2,-1.167723443E-3
1.933001667E-1,3.910807893E-3,-5.261727422E-2,-1.558335032E-3
2.032291667E-1,3.024507314E-3,-4.158725962E-2,-5.111801438E-4
2.131581667E-1,4.226889927E-3,-3.015162610E-2,6.605514791E-4
2.230871667E-1,4.274826963E-3,-2.052909136E-2,6.765304133E-4
2.330161667E-1,5.874651019E-3,-1.192459650E-2,3.272402100E-4
2.429451667E-1,3.748916555E-3,-4.921014886E-3,1.657222863E-3
2.528741666E-1,3.858301789E-4,2.260898240E-3,1.099033514E-3
2.628031667E-1,5.772849545E-5,2.065954730E-3,1.498241443E-3
2.727321667E-1,2.916429192E-3,8.039714885E-4,1.071192324E-3
2.826611667E-1,3.814979456E-3,-4.495452624E-3,2.238455694E-3
2.925901667E-1,3.151657060E-3,-5.473501515E-3,2.097234130E-3
3.025191667E-1,1.164525747E-4,-9.932697751E-3,5.597914569E-4
3.124481667E-1,-7.198243402E-4,-1.115608122E-2,-1.203990541E-4
3.223771667E-1,-1.765396446E-4,-1.608239673E-2,1.744079869E-3
3.323061666E-1,-3.317055758E-3,-2.108244412E-2,2.194240456E-3
3.422351667E-1,-2.860589884E-3,-2.995929308E-2,-8.359043859E-4
3.521641667E-1,-3.663799260E-3,-4.089556262E-2,-1.118199434E-3
3.620931667E-1,2.073715441E-4,-4.715239629E-2,-1.562947407E-3
3.720221667E-1,-2.053261036E-3,-5.363905057E-2,-2.881227061E-3
3.819511667E-1,-2.186093479E-4,-5.693924055E-2,-2.190669067E-3
3.918801667E-1,-2.784814220E-3,-5.317087844E-2,-4.414378665E-3
4.018091667E-1,-2.237268258E-3,-4.897746444E-2,-2.975739539E-3
4.117381666E-1,-4.569635727E-3,-4.088427126E-2,-2.386239823E-3
4.216681666E-1,-8.236808702E-3,-2.852933854E-2,-1.788892783E-3
4.315971667E-1,-6.295720581E-3,-1.904531382E-2,-3.493506461E-3
4.415261667E-1,-2.971296664E-3,-4.803794436E-3,-2.535833512E-3
4.514551667E-1,-2.434403403E-3,2.781953430E-3,-4.964902997E-3
4.613841667E-1,-1.968350261E-3,9.602575563E-3,2.767308615E-4
