"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.457716664E-2,-5.849444903E-3,-3.237550316E-2,1.430609018E-1
2.450616669E-2,1.242920339E-1,-2.112145856E-2,3.986923993E-2
3.443516669E-2,2.317890737E-1,-2.021550559E-2,2.840226531E-2
4.436416668E-2,3.425023379E-1,1.435856894E-4,-9.548970938E-2
5.429316667E-2,3.759292618E-1,1.465915237E-3,-5.846864820E-2
6.422216666E-2,3.165033513E-1,-4.330411367E-3,-6.803820133E-3
7.415116666E-2,1.835140958E-1,-1.266307740E-2,-6.463629127E-2
8.408016665E-2,1.235816337E-2,-3.063577378E-2,1.421925902E-2
9.400916670E-2,-1.351085788E-1,-4.221644020E-2,5.081756651E-2
1.039381667E-1,-2.317104652E-1,-4.878971558E-2,4.016569376E-2
1.138671667E-1,-2.823235984E-1,-4.720462678E-2,9.180596352E-2
1.237961667E-1,-2.663182708E-1,-5.084647369E-2,5.066261530E-2
1.337251667E-1,-2.285648459E-1,-4.786660468E-2,4.684613764E-2
1.436541667E-1,-1.623624144E-1,-3.321068656E-2,3.921142817E-2
1.535831667E-1,-1.041176050E-1,-3.295090573E-2,5.640808940E-3
1.635121666E-1,-6.192778789E-2,-2.873477088E-2,1.635583162E-2
1.734411667E-1,-2.106419239E-2,-2.502036368E-2,-1.978113055E-2
1.833701667E-1,-9.769491367E-3,-3.022303345E-2,-5.767108798E-3
1.933001667E-1,1.651663005E-2,-2.761462709E-2,5.287812531E-2
2.032291667E-1,3.756209308E-2,-3.104990283E-2,3.970259428E-2
2.131581667E-1,5.542963095E-2,-2.703916971E-2,3.465059996E-2
2.230871667E-1,5.286887940E-2,-1.895623460E-2,4.444527090E-2
2.330161667E-1,5.483966516E-2,-2.748617107E-2,1.235692084E-2
2.429451667E-1,3.824471897E-2,-2.228781363E-2,4.076737225E-2
2.528741666E-1,2.538862864E-2,-3.085224867E-2,-1.157163978E-3
2.628031667E-1,9.717560783E-3,-2.536485605E-2,-2.884489954E-2
2.727321667E-1,-9.263360035E-3,-3.256791310E-2,-1.147574544E-2
2.826611667E-1,-2.941487515E-2,-2.754351033E-2,1.696160316E-2
2.925901667E-1,-2.731062669E-2,-3.059891805E-2,1.245281518E-2
3.025191667E-1,-2.947806163E-2,-3.724585008E-2,2.842916250E-3
3.124481667E-1,-3.619998420E-2,-2.150728343E-2,1.179383397E-2
3.223771667E-1,-4.119215420E-2,-3.429485170E-2,2.298072696E-2
3.323061666E-1,-4.955705300E-2,-3.738358855E-2,2.696969748E-2
3.422351667E-1,-7.897677038E-2,-1.774461843E-2,5.584090948E-4
3.521641667E-1,-8.390590008E-2,-2.923578590E-2,2.381278574E-2
3.620931667E-1,-7.887115505E-2,-4.086673837E-2,3.641879797E-2
3.720221667E-1,-6.993657298E-2,-4.332238622E-2,3.178897262E-2
3.819511667E-1,-4.477715520E-2,-3.393524794E-2,5.305120289E-2
3.918801667E-1,-2.355771923E-2,-2.857291264E-2,2.357188046E-2
4.018091667E-1,6.204389166E-3,-2.576356307E-2,-9.187145233E-3
4.117381666E-1,3.123237250E-2,-2.706621308E-2,-3.753327727E-3
4.216681666E-1,4.498820314E-2,-2.421262566E-2,6.799727082E-3
4.315971667E-1,7.028897736E-2,-2.075887637E-2,2.681474626E-2
4.415261667E-1,7.969265230E-2,-3.475957744E-2,4.792377949E-3
4.514551667E-1,5.721416462E-2,-2.324801780E-2,2.739771366E-2
4.613841667E-1,3.284554621E-2,-2.312418474E-2,1.215226829E-2
4.713131667E-1,2.728438731E-3,-3.526894301E-2,-2.404725909E-2
4.812421667E-1,3.320432771E-3,-2.661767682E-2,2.014365792E-2
