"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.537208318E-3,3.447331238E-1,-2.891986084E-1,9.855355682E0
1.246620831E-2,3.180885315E-1,-2.856060791E-1,9.833800507E0
2.239520830E-2,2.999761963E-1,-2.763253784E-1,9.823322296E0
3.232420830E-2,2.933898926E-1,-2.811154175E-1,9.827663269E0
4.225320829E-2,3.091072083E-1,-2.791694641E-1,9.785900116E0
5.218220834E-2,3.300636292E-1,-2.800675964E-1,9.823921051E0
6.211020832E-2,3.350033569E-1,-2.839595032E-1,9.820777588E0
7.203920832E-2,3.269201660E-1,-2.808160400E-1,9.820029144E0
8.196820831E-2,3.007246399E-1,-2.790197754E-1,9.813592529E0
9.189720830E-2,2.731819153E-1,-2.857557678E-1,9.827663269E0
1.018262083E-1,2.642005920E-1,-2.878514099E-1,9.842482452E0
1.117552083E-1,2.639012146E-1,-2.800675964E-1,9.824070740E0
1.216842083E-1,2.718347168E-1,-2.785707092E-1,9.817185059E0
1.316132083E-1,2.917433167E-1,-2.914439392E-1,9.827064514E0
1.415422083E-1,2.995271301E-1,-2.812651062E-1,9.826016693E0
1.514712083E-1,2.871029663E-1,-2.938389587E-1,9.825268250E0
1.614002083E-1,2.880010986E-1,-2.869532776E-1,9.812694397E0
1.713292083E-1,2.968327332E-1,-2.820135498E-1,9.848020935E0
1.812582083E-1,2.872526550E-1,-2.793191528E-1,9.850415955E0
1.911872083E-1,2.897973633E-1,-2.812651062E-1,9.827513580E0
2.011152083E-1,3.219804382E-1,-2.880010986E-1,9.839039612E0
2.110442083E-1,3.656895447E-1,-3.388952637E-1,9.862840118E0
2.209732083E-1,2.671943665E-1,-2.966830444E-1,9.783505096E0
2.309022083E-1,2.486329651E-1,-2.493814087E-1,9.788893890E0
2.408312083E-1,3.333567810E-1,-2.656974792E-1,9.885592804E0
2.507602083E-1,3.526666260E-1,-2.799179077E-1,9.834848328E0
2.606892083E-1,3.564088440E-1,-2.769241333E-1,9.774673462E0
2.706182083E-1,3.764671326E-1,-2.725831604E-1,9.797875214E0
