"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.743020833E-2,3.043268171E-1,-2.670479668E-1,9.801641405E0
2.735920832E-2,3.041709523E-1,-2.669100090E-1,9.801649591E0
3.728820832E-2,3.042940179E-1,-2.668710154E-1,9.801647252E0
4.721720831E-2,3.043220845E-1,-2.668094735E-1,9.801647837E0
5.714620830E-2,3.036088521E-1,-2.669181038E-1,9.801667133E0
6.707520830E-2,3.025772023E-1,-2.668029502E-1,9.801702216E0
7.700420829E-2,3.013434398E-1,-2.669826242E-1,9.801734961E0
8.693320834E-2,3.003727837E-1,-2.671931422E-1,9.801759519E0
9.686220833E-2,2.998384761E-1,-2.672550130E-1,9.801774137E0
1.067912083E-1,3.000820674E-1,-2.672916495E-1,9.801765366E0
1.167202083E-1,3.008321008E-1,-2.673512911E-1,9.801740808E0
1.266482083E-1,3.018302570E-1,-2.674808617E-1,9.801706894E0
1.365772083E-1,3.030070274E-1,-2.674488300E-1,9.801671226E0
1.465062083E-1,3.043447790E-1,-2.674671391E-1,9.801629126E0
1.564352083E-1,3.058097806E-1,-2.675070098E-1,9.801582348E0
1.663642083E-1,3.073867381E-1,-2.674804780E-1,9.801533816E0
1.762932083E-1,3.090109485E-1,-2.676021549E-1,9.801479437E0
1.862222083E-1,3.107603623E-1,-2.677890466E-1,9.801419211E0
1.961512083E-1,3.127475020E-1,-2.680422310E-1,9.801349044E0
2.060802083E-1,3.155148430E-1,-2.680664969E-1,9.801259582E0
2.160092083E-1,3.191218441E-1,-2.678203109E-1,9.801149654E0
2.259382083E-1,3.231400873E-1,-2.676272614E-1,9.801023355E0
2.358672083E-1,3.272476466E-1,-2.677049380E-1,9.800884776E0
2.457962083E-1,3.309672432E-1,-2.677788139E-1,9.800757891E0
2.557252083E-1,3.340333769E-1,-2.677503453E-1,9.800654395E0
2.656542083E-1,3.363883431E-1,-2.675978243E-1,9.800578381E0
2.755822083E-1,3.381001520E-1,-2.674334079E-1,9.800524002E0
2.855112083E-1,3.392953229E-1,-2.672127486E-1,9.800488334E0
2.954402083E-1,3.399430482E-1,-2.669038695E-1,9.800474301E0
3.053692083E-1,3.404306694E-1,-2.666989063E-1,9.800463191E0
3.152982083E-1,3.408031370E-1,-2.665147555E-1,9.800455005E0
3.252272083E-1,3.409659455E-1,-2.663773460E-1,9.800453251E0
3.351562083E-1,3.412377679E-1,-2.662100608E-1,9.800448573E0
3.450852083E-1,3.415332350E-1,-2.661440055E-1,9.800439802E0
3.550142083E-1,3.419958960E-1,-2.659178279E-1,9.800429862E0
3.649432083E-1,3.428343501E-1,-2.657445311E-1,9.800405304E0
3.748722083E-1,3.437330672E-1,-2.653722461E-1,9.800383669E0
3.848012083E-1,3.446892697E-1,-2.651549490E-1,9.800356187E0
3.947302083E-1,3.456645121E-1,-2.649388030E-1,9.800327536E0
4.046592083E-1,3.464945244E-1,-2.646237843E-1,9.800307071E0
4.145872083E-1,3.470104681E-1,-2.643064084E-1,9.800297130E0
4.245162083E-1,3.474289826E-1,-2.639645290E-1,9.800291868E0
4.344452083E-1,3.481677417E-1,-2.634000351E-1,9.800280758E0
4.443742083E-1,3.497256958E-1,-2.628952560E-1,9.800238658E0
4.543032083E-1,3.524052554E-1,-2.622207248E-1,9.800160890E0
4.642322083E-1,3.556140247E-1,-2.616191011E-1,9.800060903E0
4.741612083E-1,3.579638014E-1,-2.609834723E-1,9.799992490E0
4.840902083E-1,3.589402864E-1,-2.604067541E-1,9.799972025E0
4.940192083E-1,3.583637509E-1,-2.598554165E-1,9.800007693E0
5.039482083E-1,3.562071151E-1,-2.595433944E-1,9.800094817E0
5.138772083E-1,3.534321361E-1,-2.592387910E-1,9.800202990E0
5.238062083E-1,3.506662204E-1,-2.587340667E-1,9.800315841E0
5.337352083E-1,3.479345109E-1,-2.584363703E-1,9.800421091E0
5.436642083E-1,3.454827003E-1,-2.583538149E-1,9.800509969E0
5.535932083E-1,3.432842203E-1,-2.582928943E-1,9.800588906E0
5.635212083E-1,3.411954121E-1,-2.582209370E-1,9.800663751E0
5.734502083E-1,3.394893042E-1,-2.581822540E-1,9.800723977E0
5.833792083E-1,3.381608899E-1,-2.581665761E-1,9.800770170E0
5.933082083E-1,3.371348863E-1,-2.581747074E-1,9.800805253E0
6.032377500E-1,3.364410045E-1,-2.581769915E-1,9.800829227E0
6.131667500E-1,3.361025604E-1,-2.580889909E-1,9.800843260E0
6.230957500E-1,3.355146959E-1,-2.577093969E-1,9.800873081E0
6.330247500E-1,3.353886154E-1,-2.570751933E-1,9.800894131E0
6.429537500E-1,3.353980805E-1,-2.562435000E-1,9.800915766E0
6.528827500E-1,3.349710145E-1,-2.555021827E-1,9.800949680E0
6.628117500E-1,3.343335218E-1,-2.547772193E-1,9.800990025E0
6.727407500E-1,3.339034957E-1,-2.541151318E-1,9.801022185E0
6.826697500E-1,3.338376049E-1,-2.537907392E-1,9.801032710E0
6.925987500E-1,3.345133603E-1,-2.532134911E-1,9.801024524E0
7.025267500E-1,3.363883796E-1,-2.533528010E-1,9.800956696E0
7.124557500E-1,3.375150284E-1,-2.521127893E-1,9.800950264E0
7.223847500E-1,3.384725100E-1,-2.512241952E-1,9.800939739E0
