"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.743020833E-2,3.105490468E-3,1.928360085E-3,2.315655816E-3
2.735920832E-2,1.720185392E-4,-3.651542065E-4,2.804345917E-3
3.728820832E-2,1.787683461E-3,-2.177614253E-3,5.158539861E-4
4.721720831E-2,-1.795599703E-3,2.506619552E-3,-1.271926332E-3
5.714620830E-2,1.900335308E-3,9.371981956E-3,-1.211205963E-3
6.707520830E-2,1.519769430E-3,1.290253457E-2,4.239748232E-4
7.700420829E-2,-2.052904805E-3,1.176361553E-2,6.293198094E-4
8.693320834E-2,-7.895012386E-4,8.411228657E-3,-3.129066899E-4
9.686220833E-2,-1.044631936E-3,4.627582384E-4,3.264251398E-3
1.067912083E-1,7.641869597E-4,-3.215599805E-3,-4.404718056E-4
1.167202083E-1,-1.912941691E-3,-1.132605411E-2,4.282622598E-3
1.266482083E-1,7.113371976E-4,-9.458912537E-3,6.343584973E-4
1.365772083E-1,1.231865957E-3,-1.359752845E-2,4.372629337E-4
1.465062083E-1,-7.870760746E-4,-1.372402906E-2,-1.387624070E-5
1.564352083E-1,6.639645435E-4,-1.743611693E-2,1.400337555E-3
1.663642083E-1,1.006446779E-3,-1.752027310E-2,2.610371448E-4
1.762932083E-1,-3.114988795E-3,-1.860122755E-2,4.897434264E-4
1.862222083E-1,-9.788670577E-4,-1.960310899E-2,6.447392516E-4
1.961512083E-1,-3.190524876E-4,-2.214873210E-2,-8.385661058E-4
2.060802083E-1,2.143039834E-3,-3.294705227E-2,-3.706257790E-3
2.160092083E-1,1.574173104E-3,-3.959324956E-2,-6.360123865E-3
2.259382083E-1,2.162997611E-3,-4.236293957E-2,-7.357941940E-4
2.358672083E-1,-1.712951111E-3,-4.232244566E-2,-3.509982489E-3
2.457962083E-1,5.017337389E-4,-3.611488268E-2,-3.712915815E-3
2.557252083E-1,-1.025294885E-3,-2.870822698E-2,-1.345142256E-3
2.656542083E-1,2.290606964E-3,-1.996773109E-2,-8.633765392E-4
2.755822083E-1,3.224841319E-3,-1.494303439E-2,1.023642253E-3
2.855112083E-1,3.130565397E-3,-1.134297345E-2,-6.293817423E-4
2.954402083E-1,2.037886064E-3,-4.698906094E-3,1.311290776E-3
3.053692083E-1,2.312990371E-3,-4.593977239E-3,3.821137361E-4
3.152982083E-1,1.557984389E-3,-2.411783440E-3,2.309443429E-3
3.252272083E-1,9.222878143E-4,-1.479677041E-3,-8.899951354E-5
3.351562083E-1,1.114025246E-3,-4.988625180E-3,2.334094606E-4
3.450852083E-1,2.650669310E-3,-3.134532366E-3,-2.040131483E-3
3.550142083E-1,3.064120654E-3,-6.821914110E-3,-5.566286854E-4
3.649432083E-1,4.044164438E-3,-1.007070486E-2,1.490809722E-3
3.748722083E-1,2.395773772E-3,-7.525847293E-3,-1.020459924E-3
3.848012083E-1,3.279943019E-3,-8.539712988E-3,3.875531256E-4
3.947302083E-1,2.561006229E-3,-8.766972460E-3,-1.653835177E-3
4.046592083E-1,2.665402368E-3,-8.289467543E-3,1.983935945E-4
4.145872083E-1,3.650329541E-3,-5.134228151E-3,3.526550718E-4
4.245162083E-1,6.110025104E-3,-5.363259930E-3,1.793691656E-3
4.344452083E-1,3.435233608E-3,-7.891895249E-3,2.752131317E-3
4.443742083E-1,5.871227011E-3,-2.322584391E-2,-1.453799196E-3
4.543032083E-1,6.119315047E-3,-3.125720099E-2,-2.270345110E-3
4.642322083E-1,5.912120920E-3,-3.314405307E-2,-2.306564245E-3
4.741612083E-1,7.858270779E-3,-1.660372876E-2,-2.671917900E-3
4.840902083E-1,4.648630042E-3,-7.936063339E-4,-2.153666690E-3
4.940192083E-1,5.838363897E-3,1.457272936E-2,1.016722759E-3
5.039482083E-1,1.384759787E-3,2.774871700E-2,1.448687399E-3
5.138772083E-1,3.368711565E-3,2.883417159E-2,9.147292003E-4
5.238062083E-1,6.069423165E-3,2.583811618E-2,8.103332948E-4
5.337352083E-1,1.398846507E-3,2.884154022E-2,2.132365247E-3
5.436642083E-1,7.543615066E-4,2.310695685E-2,1.842613332E-3
5.535932083E-1,1.495399978E-3,1.972680911E-2,2.959521022E-3
5.635212083E-1,1.079946756E-3,1.984745078E-2,1.934736734E-3
5.734502083E-1,8.155708201E-4,1.535860356E-2,2.366206609E-3
5.833792083E-1,6.579114124E-4,1.193164755E-2,2.416806528E-3
5.933082083E-1,-1.143184258E-3,8.849837817E-3,-1.765796915E-4
6.032377500E-1,-2.345135435E-4,5.421816837E-3,1.801616279E-3
6.131667500E-1,9.531648830E-4,7.750027347E-3,3.703688271E-4
6.230957500E-1,5.716228858E-3,5.124683492E-3,-2.293749712E-4
6.330247500E-1,8.616991341E-3,-2.420794626E-4,-4.824578296E-3
6.429537500E-1,8.387958631E-3,6.077352446E-4,-5.914610345E-3
6.528827500E-1,7.441909052E-3,7.466097362E-3,-7.365132216E-3
6.628117500E-1,6.142552942E-3,3.881748766E-3,-3.536572214E-3
6.727407500E-1,3.484618850E-3,6.441946141E-3,-6.910159718E-3
6.826697500E-1,3.308850341E-3,-1.544374827E-4,-6.656893063E-3
6.925987500E-1,6.359885912E-3,-1.279773097E-2,-7.597765885E-3
7.025267500E-1,-1.757428749E-3,-2.496970817E-2,-1.425673347E-2
7.124557500E-1,1.013907418E-2,-6.708197296E-3,-1.137678605E-2
7.223847500E-1,3.964269068E-3,-1.154263318E-2,-1.136107277E-2
7.323137500E-1,-8.815946057E-5,-1.964790514E-3,-1.712922007E-2
7.422427500E-1,2.752101980E-3,8.987459354E-3,-1.515847910E-2
7.521717500E-1,3.711550962E-3,2.288779058E-2,-1.311873272E-2
7.621007500E-1,-2.579900669E-3,1.512520947E-2,-1.596192271E-2
7.720297500E-1,-5.930288695E-3,6.137385499E-3,-2.032306790E-2
7.819587500E-1,1.517507713E-3,3.297124058E-3,-1.799865998E-2
7.918877500E-1,6.506140810E-3,-7.718775421E-3,-1.592885144E-2
8.018167500E-1,1.061859354E-2,-9.385914542E-3,-1.916912012E-2
8.117457500E-1,4.678795580E-3,-2.114466019E-2,-1.888690144E-2
8.216747500E-1,2.089936752E-3,-2.304722369E-2,-2.000303194E-2
8.316027500E-1,8.315620944E-4,-1.396160852E-2,-2.180098556E-2
8.415317500E-1,-1.589251449E-3,-1.160124876E-2,-2.128886059E-2
8.514607500E-1,-4.887398332E-3,-5.627507344E-4,-2.398580872E-2
8.613897500E-1,-1.851927256E-3,-5.168953910E-3,-2.589849196E-2
8.713187500E-1,-6.518330891E-3,-3.950682469E-3,-2.910673246E-2
8.812477500E-1,-6.123383995E-3,4.185274243E-3,-2.987079322E-2
8.911767500E-1,-7.079430390E-3,8.358052932E-3,-2.790568955E-2
9.011057500E-1,-7.748150267E-3,1.712491363E-2,-2.160198800E-2
9.110347500E-1,-9.161962196E-3,1.038861275E-2,-2.354129031E-2
9.209637500E-1,-8.722540922E-3,9.228273295E-3,-2.243421413E-2
9.308927500E-1,-1.063837484E-2,5.929034669E-3,-1.773747802E-2
9.408217500E-1,-9.148603305E-3,5.160446279E-3,-1.613718644E-2
9.507507500E-1,-1.396741346E-2,8.983642794E-3,-1.376001537E-2
9.606797500E-1,-1.120411791E-2,1.598402858E-2,-1.361966692E-2
9.706077500E-1,-6.073093973E-3,3.025507182E-2,-6.841090508E-3
9.805367500E-1,-7.257934660E-3,4.055245221E-2,-5.426153541E-3
9.904657500E-1,-1.843536505E-3,3.413192183E-2,3.032807261E-3
1.000394750E0,4.523815122E-3,-3.100399626E-3,4.588093609E-3
1.010323750E0,1.079251058E-2,-3.044446930E-2,7.153023034E-4
1.020252750E0,7.351707201E-3,-4.095357284E-2,2.503614873E-3
1.030181750E0,9.480519220E-3,-4.853485152E-2,1.661235699E-3
1.040110750E0,1.611471921E-2,-4.664800316E-2,3.602413693E-3
1.050039750E0,1.082199626E-2,-7.567124814E-2,1.711020013E-3
1.059968750E0,6.605147850E-3,-6.322576851E-2,1.825269544E-3
1.069897750E0,7.196723018E-3,-4.982310161E-2,4.965853877E-4
1.079826750E0,7.363437209E-3,-1.955920644E-2,4.149110988E-3
1.089755750E0,4.258505069E-3,8.060743101E-3,4.920977168E-3
1.099684750E0,2.406010404E-3,2.807785943E-2,4.100723192E-3
1.109612750E0,-1.069550170E-3,5.007043481E-2,3.792546690E-3
1.119541750E0,1.107952371E-2,7.572572678E-2,7.283135783E-4
1.129470750E0,1.601246651E-3,9.702325612E-2,6.570523139E-3
1.139399750E0,2.071028110E-3,1.039669141E-1,3.758491250E-3
1.149328750E0,2.015383914E-3,1.030116603E-1,8.132228628E-3
1.159257750E0,2.640693914E-3,8.707929403E-2,3.342266660E-3
1.169186750E0,2.430881374E-3,6.481595337E-2,1.926779747E-3
1.179115750E0,1.126731280E-3,3.931592032E-2,1.012783032E-3
1.189044750E0,4.477281589E-3,1.577770710E-2,6.548103411E-4
1.198973750E0,-3.283922561E-4,-4.249640042E-4,2.484135563E-3
1.208902750E0,-8.100392297E-4,-1.021254994E-2,-3.696852364E-4
1.218831750E0,2.552734222E-3,-1.560625061E-2,1.744331792E-3
1.228760750E0,1.698006876E-3,-1.204646658E-2,-1.442429144E-3
