"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.743020833E-2,9.271052778E-3,-1.301962964E-2,3.021314800E-2
2.735920832E-2,-1.003261607E-2,-1.255881423E-2,2.346838474E-2
3.728820832E-2,-7.161907274E-3,-1.469346821E-2,8.502436280E-3
4.721720831E-2,1.406580616E-2,-1.056372598E-2,-2.724802494E-3
5.714620830E-2,2.899948530E-2,-1.434700241E-2,2.150547445E-2
6.707520830E-2,3.227648422E-2,-1.730624171E-2,2.236852348E-2
7.700420829E-2,1.315256244E-2,-9.791802149E-3,1.110854030E-2
8.693320834E-2,-7.731334716E-3,-1.661667226E-2,1.692242682E-2
9.686220833E-2,-3.473975172E-2,-1.984795326E-2,3.172699213E-2
1.067912083E-1,-3.363612631E-2,-1.741629727E-2,3.922019899E-2
1.167202083E-1,-3.767932976E-2,-1.286597578E-2,1.619269431E-2
1.266482083E-1,-2.101419870E-2,-1.573021609E-2,1.383158863E-2
1.365772083E-1,-7.072426602E-3,-1.890569273E-2,3.197959185E-2
1.465062083E-1,-8.859262615E-3,-1.559421351E-2,2.139320791E-2
1.564352083E-1,-1.750934109E-2,-2.693068558E-2,1.979340971E-2
1.663642083E-1,-1.624221291E-2,-1.692807304E-2,1.759661078E-2
1.762932083E-1,-1.382479124E-2,-1.366295127E-2,5.522344351E-2
1.862222083E-1,-2.964498136E-2,-8.686020579E-3,4.031479776E-2
1.961512083E-1,-1.366943803E-2,-1.876135787E-2,3.110426366E-2
2.060802083E-1,1.963816613E-2,-3.116123747E-2,4.182104051E-2
2.160092083E-1,3.444291417E-2,-7.691281289E-2,5.749917984E-2
2.259382083E-1,-9.172132507E-2,3.875735532E-3,-4.835413456E-2
2.358672083E-1,-4.418631233E-2,1.413226342E-2,3.725611925E-2
2.457962083E-1,1.675965495E-2,-5.403101351E-3,7.869767547E-2
2.557252083E-1,1.758539144E-2,-1.052096821E-2,1.261829138E-3
2.656542083E-1,3.169618461E-2,-7.979110479E-3,-2.201301277E-2
2.755822083E-1,3.746884827E-2,-2.305666767E-3,3.787826300E-3
2.855112083E-1,3.597426340E-2,-9.262300227E-3,-3.212460279E-3
2.954402083E-1,2.320178825E-2,-1.630717183E-2,-5.294069052E-3
3.053692083E-1,2.585763015E-2,-2.070341919E-2,4.148014784E-3
3.152982083E-1,1.844971955E-2,-1.430126622E-2,2.765674531E-2
3.252272083E-1,1.723912664E-2,-1.279211814E-2,3.065285861E-2
3.351562083E-1,9.333215989E-3,-9.666251466E-3,5.834994972E-2
3.450852083E-1,-1.566089004E-2,-1.766582720E-2,3.231288314E-2
3.550142083E-1,-2.330860958E-2,-1.549694873E-2,1.510862052E-2
3.649432083E-1,-2.175204422E-2,-9.383355863E-3,2.216854870E-2
3.748722083E-1,-2.624332711E-2,-1.709035154E-2,2.533306181E-2
3.848012083E-1,-1.507470667E-2,-1.625982765E-2,2.326548636E-2
3.947302083E-1,-7.966794781E-3,-1.917038888E-2,2.374261916E-2
4.046592083E-1,1.784782179E-2,-1.514443472E-2,4.696542084E-2
4.145872083E-1,2.795974072E-2,-1.082142374E-2,2.946119606E-2
4.245162083E-1,3.322943419E-2,-2.373719221E-2,6.314700544E-2
4.344452083E-1,-5.979326181E-3,-1.711662747E-2,2.199371696E-2
4.443742083E-1,-7.624440305E-2,-1.567545326E-2,3.296309352E-2
4.543032083E-1,-2.788007241E-2,-2.473255277E-2,7.420525968E-2
4.642322083E-1,6.632715985E-3,-2.144228797E-2,6.592267871E-2
4.741612083E-1,3.661566641E-2,-8.456225004E-3,1.928821027E-2
4.840902083E-1,8.174330737E-2,-4.991329461E-3,-2.754389405E-2
4.940192083E-1,9.893529084E-2,-1.003334697E-2,-2.728018463E-2
5.039482083E-1,8.238080006E-2,-6.453480553E-3,-1.449407816E-2
5.138772083E-1,2.887285654E-2,-2.142754203E-2,-3.076220155E-3
5.238062083E-1,4.690702178E-2,-1.564534010E-2,9.833847284E-3
5.337352083E-1,1.289274506E-3,-1.264990289E-2,2.619435668E-2
5.436642083E-1,-1.526938241E-2,-6.295843273E-3,-1.437245607E-3
5.535932083E-1,-1.322062768E-2,-1.803248417E-2,-7.952798009E-3
5.635212083E-1,-1.652057692E-2,-7.027476132E-3,1.697037399E-2
5.734502083E-1,-2.499330204E-2,-1.035929270E-2,3.053182125E-2
5.833792083E-1,-2.755675793E-2,-1.770973613E-2,1.282235920E-2
5.933082083E-1,-1.620226912E-2,-1.455815999E-2,4.736537039E-2
6.032377500E-1,-3.077663686E-2,-2.278873729E-2,3.970727205E-2
